mode,scenario,threshold_used,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,delta_ba_vs_clean
caregiver,baseline_clean,0.2,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9852344424620342,0.03506129166800665,0.0
caregiver,missingness_light,0.2,0.9929078014184397,0.8695652173913043,0.992,0.9307826086956521,0.9271523178807947,0.9738176063927877,0.06661894871130399,-0.034161490683229934
caregiver,missingness_moderate,0.2,0.9921259842519685,0.782608695652174,0.992,0.8873043478260869,0.875,0.9543604799904175,0.10313201342939968,-0.07763975155279512
caregiver,partial_coverage_drop_cbcl,0.2,0.9230769230769231,0.07453416149068323,0.992,0.5332670807453416,0.13793103448275862,0.7841431770806864,0.41093466380092913,-0.43167701863354047
caregiver,partial_coverage_drop_sdq,0.2,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9849495955795629,0.03604617494115796,0.0
caregiver,threshold_minus_0.05,0.15000000000000002,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9852344424620342,0.03506129166800665,-0.0040000000000000036
caregiver,threshold_plus_0.05,0.25,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9852344424620342,0.03506129166800665,0.0
psychologist,baseline_clean,0.29000000000000004,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9862807778140408,0.03422938188684162,0.0
psychologist,missingness_light,0.29000000000000004,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.985378568065732,0.04599585731439649,-0.021739130434782705
psychologist,missingness_moderate,0.29000000000000004,1.0,0.8012422360248447,1.0,0.9006211180124224,0.8896551724137931,0.9727030091609112,0.08666074216519289,-0.06832298136645965
psychologist,partial_coverage_drop_cbcl,0.29000000000000004,1.0,0.15527950310559005,1.0,0.577639751552795,0.26881720430107525,0.9411746209980614,0.2963385503104019,-0.39130434782608703
psychologist,partial_coverage_drop_sdq,0.29000000000000004,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9860348159876543,0.03515529603506492,-0.008000000000000007
psychologist,threshold_minus_0.05,0.24000000000000005,0.9058823529411765,0.9565217391304348,0.872,0.9142608695652175,0.9305135951661632,0.9862807778140408,0.03422938188684162,-0.05468322981366458
psychologist,threshold_plus_0.05,0.34,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9862807778140408,0.03422938188684162,0.0
