domain,mode,active_model_id,retention_reason,old_f1,old_recall,old_precision,old_balanced_accuracy
adhd,caregiver_1_3,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,no_materially_better_candidate,0.8018433179723502,0.925531914893617,0.7073170731707317,0.9161338330944768
adhd,caregiver_2_3,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,no_materially_better_candidate,0.8090909090909091,0.946808510638298,0.7063492063492064,0.9254767941792524
adhd,caregiver_full,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,no_guard_precision_compliant_candidate,0.7777777777777778,0.8191489361702128,0.7403846153846154,0.8746003748208577
adhd,psychologist_2_3,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,no_guard_precision_compliant_candidate,0.8241206030150754,0.8723404255319149,0.780952380952381,0.9063774666519678
adhd,psychologist_full,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,no_guard_precision_compliant_candidate,0.783410138248848,0.9042553191489362,0.6910569105691057,0.902904861647007
anxiety,psychologist_full,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,no_guard_precision_compliant_candidate,0.8409090909090909,0.8604651162790697,0.8222222222222222,0.909927989611616
conduct,caregiver_2_3,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,no_materially_better_candidate,0.8875739644970414,0.9375,0.8426966292134831,0.925
depression,caregiver_1_3,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,no_materially_better_candidate,0.8457142857142858,0.902439024390244,0.7956989247311828,0.9273501654614535
depression,caregiver_2_3,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,no_materially_better_candidate,0.8522727272727273,0.9146341463414634,0.7978723404255319,0.9334477264370632
depression,psychologist_2_3,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,no_materially_better_candidate,0.8491620111731844,0.926829268292683,0.7835051546391752,0.9370327245986028
elimination,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_ranked_direct,no_materially_better_candidate,0.8518518518518519,0.8846153846153846,0.8214285714285714,0.930625449317038
elimination,caregiver_full,elimination__caregiver_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,no_materially_better_candidate,0.8376068376068376,0.9423076923076924,0.7538461538461538,0.9524622573687994
elimination,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top1_direct,anti_clone_retained_v9_champion,0.8440366972477065,0.8846153846153846,0.8070175438596491,0.9294572250179728
elimination,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top2_direct,anti_clone_retained_v9_champion,0.8214285714285714,0.8846153846153846,0.7666666666666667,0.9259525521207764
elimination,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_no_top2_direct,anti_clone_retained_v9_champion,0.8181818181818182,0.8653846153846154,0.7758620689655172,0.9175053918044572
