input_key,domains,mode_supported,source_type,instrument_family,instrument_subgroup,direct_question_needed,derivable_from_answers,derivation_rule_summary,system_filled,presence_flag,can_be_asked_to_caregiver,can_be_asked_to_psychologist,requires_child_response,can_be_administered_by_caregiver,can_be_administered_by_psychologist,future_optional_full_caregiver_candidate,allowed_if_unknown,unknown_handling_rule,model_criticality,output_criticality,current_mapping_status,exact_legacy_equivalence_status,notes
age_years,adhd|anxiety|conduct|depression|elimination,both,general,Demographics,demographics,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,no,required demographic,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
ari_p_symptom_total,conduct,both,score_derivado,ARI,ari,no,yes,sum/aggregate from items,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
ari_sr_symptom_total,conduct,psychologist,score_derivado,ARI,ari,no,yes,sum/aggregate from items,no,no,no,yes,yes,no,yes,yes,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_001,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_002,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_003,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_004,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_005,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_006,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_007,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_008,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_009,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_010,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_011,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_012,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_013,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_014,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_015,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_016,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_017,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_018,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_019,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_020,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_021,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_022,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_023,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_024,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_025,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
