mode,gate_name,threshold,coverage_rate,uncertain_rate,precision_decided,recall_decided,specificity_decided,balanced_accuracy_decided,f1_decided,pr_auc_decided,brier_decided,gate_objective
caregiver,gate_none,0.31000000000000005,1.0,0.0,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.8710003488112577
caregiver,gate_combined_strict,0.31000000000000005,0.958041958041958,0.04195804195804198,0.8607594936708861,0.8607594936708861,0.8103448275862069,0.8355521606285465,0.8607594936708861,0.9155552914306779,0.13095128833007585,0.8687489008957467
caregiver,gate_total_ge_0.50,0.31000000000000005,0.986013986013986,0.013986013986013957,0.8607594936708861,0.84472049689441,0.8181818181818182,0.831451157538114,0.8526645768025078,0.9123166570156571,0.1337330174953343,0.8676469175943389
caregiver,gate_cbcl_ge_0.35,0.31000000000000005,0.9615384615384616,0.038461538461538436,0.8607594936708861,0.8553459119496856,0.8103448275862069,0.8328453697679462,0.8580441640378549,0.9149549256947989,0.13222588748454858,0.8669358210509583
caregiver,gate_combined_relaxed,0.31000000000000005,0.9615384615384616,0.038461538461538436,0.8607594936708861,0.8553459119496856,0.8103448275862069,0.8328453697679462,0.8580441640378549,0.9149549256947989,0.13222588748454858,0.8669358210509583
psychologist,gate_none,0.37500000000000006,1.0,0.0,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.8724779960503664
psychologist,gate_total_ge_0.50,0.37500000000000006,0.986013986013986,0.013986013986013957,0.8475609756097561,0.8633540372670807,0.7933884297520661,0.8283712335095734,0.8553846153846154,0.9128817713412822,0.13572908567701547,0.868984472403716
psychologist,gate_cbcl_ge_0.35,0.37500000000000006,0.9615384615384616,0.038461538461538436,0.8518518518518519,0.8679245283018868,0.7931034482758621,0.8305139882888745,0.8598130841121495,0.9154663483774692,0.13436675578755672,0.8676580452215765
psychologist,gate_combined_relaxed,0.37500000000000006,0.9615384615384616,0.038461538461538436,0.8518518518518519,0.8679245283018868,0.7931034482758621,0.8305139882888745,0.8598130841121495,0.9154663483774692,0.13436675578755672,0.8676580452215765
psychologist,gate_combined_strict,0.37500000000000006,0.958041958041958,0.04195804195804198,0.8509316770186336,0.8670886075949367,0.7931034482758621,0.8300960279353994,0.8589341692789969,0.9156941639600484,0.1335423305606588,0.8667259837228636
