slot_key,domain,current_threshold,recommended_threshold,probability_mean_holdout,probability_std_holdout,probability_min_holdout,probability_max_holdout,roc_auc,pr_auc,brier
adhd/caregiver/caregiver_1_3,adhd,0.3799999999999999,0.3799999999999999,0.2721742872371539,0.3591416965492869,1e-06,0.9531047569124059,0.9366938595524198,0.6348300001844969,0.08637692521568065
adhd/caregiver/caregiver_2_3,adhd,0.4499999999999999,0.4499999999999999,0.26882746012797304,0.3441651554991532,1e-06,0.942221881482637,0.939256972770367,0.6349693136205401,0.08375163643332674
adhd/caregiver/caregiver_full,adhd,0.1499999999999999,0.1499999999999999,0.18825197650590647,0.3015949786241262,0.008253098487718354,0.8971580543913621,0.9409657149156653,0.66977613630941,0.08259282220518545
adhd/psychologist/psychologist_1_3,adhd,0.08,0.08,0.1915798982603569,0.29820078998398997,0.009414859820523166,0.8653007026568877,0.9338138022268769,0.6413740714852344,0.08130952316506299
adhd/psychologist/psychologist_2_3,adhd,0.13,0.13,0.18943854728519743,0.35278980810081034,0.0016316645079240636,0.9906808813845496,0.9899955903428509,0.9605288502790146,0.033043335734449904
adhd/psychologist/psychologist_full,adhd,0.19,0.19,0.19044918903687913,0.35322991629815065,0.0011086983672852443,0.9943904960691068,0.9907948407011355,0.9630826128741268,0.03293035996467613
anxiety/caregiver/caregiver_1_3,anxiety,0.5199999999999999,0.5199999999999999,0.2677031921197071,0.32056517733797985,0.017156540655533403,0.9848402219329161,0.9888885609727305,0.955690824027037,0.05194035018731213
anxiety/caregiver/caregiver_2_3,anxiety,0.3299999999999999,0.3299999999999999,0.20547879152880802,0.3332811484956632,1e-06,0.9997148439774677,0.993595797426514,0.9722061553201079,0.02723009861716629
anxiety/caregiver/caregiver_full,anxiety,0.3599999999999999,0.3599999999999999,0.21445457200696783,0.3277332397075183,0.0002580948364495126,0.9971310224500757,0.9938909219690709,0.9729367308495688,0.02884854507284831
anxiety/psychologist/psychologist_1_3,anxiety,0.1099999999999999,0.1099999999999999,0.1815086901823442,0.33191381082830923,0.00743746899568978,0.9710222574506692,0.9842993743359698,0.9476782393006409,0.03464668714606566
anxiety/psychologist/psychologist_2_3,anxiety,0.3999999999999999,0.3999999999999999,0.21302303732530323,0.3286392628397897,0.0001609114635101262,0.997138103886734,0.9943631212371621,0.975020175202338,0.028287425001016987
anxiety/psychologist/psychologist_full,anxiety,0.4099999999999999,0.4099999999999999,0.21486189074699247,0.32600166814582504,3.5511363636363635e-05,0.9983585766563767,0.9940679966946052,0.9745363432434598,0.029139088120931963
conduct/caregiver/caregiver_1_3,conduct,0.05,0.05,0.33302018269153055,0.46206962739380686,0.0014804864571990892,0.9955660914586267,0.99935546875,0.9985714042970324,0.003791155857556285
conduct/caregiver/caregiver_2_3,conduct,0.58,0.58,0.33277304342666014,0.46079959556651684,0.0009341168531036346,0.9977695972437216,0.9996289062500001,0.9992177331965124,0.003353208372490314
conduct/caregiver/caregiver_full,conduct,0.59,0.59,0.3329712439520493,0.46049884614001657,0.0007793191976928699,0.9982636196444328,0.9995703125,0.9990847500137279,0.0038188095685123104
conduct/psychologist/psychologist_1_3,conduct,0.3799999999999999,0.3799999999999999,0.352990575273637,0.40201479649888044,0.001950715043991564,0.99652791751953,0.9598437500000001,0.9179496727288678,0.07630165512126948
conduct/psychologist/psychologist_2_3,conduct,0.72,0.72,0.33327873920711426,0.46250533542437394,0.0013560050403109592,0.995849377351783,0.9995898437499999,0.9991293928708709,0.003384332205609512
conduct/psychologist/psychologist_full,conduct,0.5499999999999999,0.5499999999999999,0.3336143389437139,0.4608440159118671,0.0007496164056166317,0.9983689541542397,0.9995703125,0.9990847500137279,0.0036815885799210087
depression/caregiver/caregiver_1_3,depression,0.62,0.62,0.23247067227104798,0.3466382685655594,0.00010547346543032233,0.9910262955443162,0.9829329574702782,0.8887106422223056,0.04944904219023849
depression/caregiver/caregiver_2_3,depression,0.5599999999999999,0.5599999999999999,0.2478316280859372,0.33043695097095893,0.0028299888141104356,0.9722097487753426,0.9845262899865179,0.8881842844277638,0.05481272791400382
depression/caregiver/caregiver_full,depression,0.4665848789491877,0.4665848789491877,0.22314071572713143,0.3252722941088143,1e-06,0.9930997630198638,0.9864566736119622,0.9070846920149838,0.0460233269047649
depression/psychologist/psychologist_1_3,depression,0.5199999999999999,0.5199999999999999,0.23272805536073418,0.3559500306042645,1e-06,0.9954658895439091,0.980113984556931,0.900915479146274,0.053260387445347265
depression/psychologist/psychologist_2_3,depression,0.5099999999999999,0.5099999999999999,0.2279821934570353,0.33397206166603716,1e-06,0.9896820155518137,0.9854761612942763,0.9067812869009318,0.04715084936199448
depression/psychologist/psychologist_full,depression,0.4399999999999999,0.4399999999999999,0.2187191946915673,0.3236660372706267,1e-06,0.9949020261663336,0.9872226988601545,0.9310858536275399,0.044428893585115606
elimination/caregiver/caregiver_1_3,elimination,0.05,0.05,0.10495027287816815,0.2472697931380088,0.003330265135010181,0.8347257111354232,0.9687949317038103,0.7540873082067759,0.03330218267611852
