domain,representative_mode,candidate_id,variant,n_features,status,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,delta_precision_vs_clean,delta_recall_vs_clean,delta_balanced_accuracy_vs_clean,delta_pr_auc_vs_clean,delta_brier_vs_clean,delta_precision_vs_hybrid_full,delta_recall_vs_hybrid_full,delta_balanced_accuracy_vs_hybrid_full,delta_pr_auc_vs_hybrid_full,delta_brier_vs_hybrid_full
adhd,psychologist_full,adhd__psychologist_full,clean_base_only,23,ok,0.5570469798657718,0.8829787234042553,0.8290155440414507,0.855997133722853,0.6831275720164609,0.895573806636534,0.6009572321395377,0.09047590421249625,0.0,0.0,0.0,0.0,0.0,-0.39086968680089484,-0.08510638297872342,-0.12156873553081249,-0.3441491095786702,0.07501720001294801
adhd,psychologist_full,adhd__psychologist_full,dsm5_only,88,ok,0.9494949494949495,1.0,0.9870466321243523,0.9935233160621761,0.9740932642487047,0.9960037482085767,0.9685553333368353,0.009029150414180615,0.3924479696291777,0.11702127659574468,0.13752618233932312,0.36759810119729763,-0.08144675379831563,0.0015782828282828731,0.03191489361702127,0.015957446808510634,0.023448991618627457,-0.006429553785367621
adhd,psychologist_full,adhd__psychologist_full,hybrid_full,111,ok,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.39086968680089484,0.08510638297872342,0.12156873553081249,0.3441491095786702,-0.07501720001294801,0.0,0.0,0.0,0.0,0.0
anxiety,caregiver_2_3,anxiety__caregiver_2_3,clean_base_only,8,ok,0.8023255813953488,0.8023255813953488,0.9568527918781726,0.8795891866367607,0.8023255813953488,0.9603500177074725,0.8474253257792781,0.051986140744727495,0.0,0.0,0.0,0.0,0.0,-0.0889787664307381,-0.15116279069767447,-0.08446464407980181,-0.08226717713471599,0.030383148292771982
anxiety,caregiver_2_3,anxiety__caregiver_2_3,dsm5_only,71,ok,0.8817204301075269,0.9534883720930233,0.9720812182741116,0.9627847951835675,0.9162011173184358,0.969321803801204,0.9027134900773137,0.026145362374960457,0.07939484871217806,0.15116279069767447,0.08319560854680685,0.055288164298035625,-0.025840778369767038,-0.009583917718560042,0.0,-0.0012690355329949554,-0.02697901283668036,0.004542369923004944
anxiety,caregiver_2_3,anxiety__caregiver_2_3,hybrid_full,79,ok,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,0.0889787664307381,0.15116279069767447,0.08446464407980181,0.08226717713471599,-0.030383148292771982,0.0,0.0,0.0,0.0,0.0
conduct,psychologist_2_3,conduct__psychologist_2_3,clean_base_only,10,ok,0.8076923076923077,0.9245283018867925,0.8909657320872274,0.9077470169870099,0.8621700879765396,0.9689747056172731,0.9207050577983351,0.0691989904413623,0.0,0.0,0.0,0.0,0.0,-0.17988533205924506,-0.07547169811320753,-0.08913771821548233,-0.07929494220166489,0.06791331189613177
conduct,psychologist_2_3,conduct__psychologist_2_3,dsm5_only,44,ok,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011819560525679477,0.1737891737891738,0.07547169811320753,0.08758008581672838,0.07929494220166489,-0.06801703438879435,-0.006096158270071261,0.0,-0.0015576323987539498,0.0,-0.0001037224926625801
conduct,psychologist_2_3,conduct__psychologist_2_3,hybrid_full,54,ok,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.17988533205924506,0.07547169811320753,0.08913771821548233,0.07929494220166489,-0.06791331189613177,0.0,0.0,0.0,0.0,0.0
depression,caregiver_2_3,depression__caregiver_2_3,clean_base_only,6,ok,0.6666666666666666,0.5609756097560976,0.9422110552763819,0.7515933325162398,0.609271523178808,0.8581321240348083,0.6038971247311105,0.0975989500596415,0.0,0.0,0.0,0.0,0.0,-0.18055555555555558,-0.18292682926829262,-0.10653879151856838,-0.25905886136347733,0.04559411764856691
depression,caregiver_2_3,depression__caregiver_2_3,dsm5_only,56,ok,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9679495036156391,0.8527277224013043,0.05287104952961863,0.18055555555555558,0.18292682926829262,0.10653879151856838,0.2488305976701939,-0.044727900530022874,0.0,0.0,0.0,-0.010228263693283446,0.0008662171185440382
depression,caregiver_2_3,depression__caregiver_2_3,hybrid_full,62,ok,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.18055555555555558,0.18292682926829262,0.10653879151856838,0.25905886136347733,-0.04559411764856691,0.0,0.0,0.0,0.0,0.0
elimination,caregiver_2_3,elimination__caregiver_2_3,clean_base_only,5,ok,0.12427745664739884,0.8269230769230769,0.29205607476635514,0.559489575844716,0.21608040201005024,0.639445542774982,0.15765931061036645,0.09524806256490444,0.0,0.0,0.0,0.0,0.0,-0.8372610048910627,-0.1346153846153847,-0.41894320632638393,-0.8168730694148144,0.08924660905954515
elimination,caregiver_2_3,elimination__caregiver_2_3,dsm5_only,40,ok,0.9285714285714286,1.0,0.9906542056074766,0.9953271028037383,0.9629629629629629,0.998494787922358,0.9755316271807867,0.004359851123761983,0.8042939719240297,0.17307692307692313,0.4358375269590222,0.8178723165704203,-0.09088821144114245,-0.03296703296703296,0.038461538461538436,0.016894320632638293,0.0009992471556058424,-0.0016416023815973074
elimination,caregiver_2_3,elimination__caregiver_2_3,hybrid_full,45,ok,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9983824586628325,0.9745323800251808,0.00600145350535929,0.8372610048910627,0.1346153846153847,0.41894320632638393,0.8168730694148144,-0.08924660905954515,0.0,0.0,0.0,0.0,0.0
