mode,route,variant,domain,probability_score_ready,risk_band_ready,confidence_percentage_ready,evidence_quality_ready,uncertainty_abstention_ready,short_explanation_ready,professional_detail_ready,caveat_message_ready,model_metadata_ready,questionnaire_metadata_ready,input_coverage_summary_ready,source_mix_summary_ready,output_readiness_score
caregiver,A,direct_basic,adhd,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,0.8333333333333334
caregiver,A,direct_basic,conduct,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,0.9166666666666666
caregiver,A,direct_basic,elimination,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,0.6666666666666666
caregiver,A,direct_basic,anxiety,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,0.9166666666666666
caregiver,A,direct_basic,depression,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,0.9166666666666666
caregiver,B,intermediate_mapping,adhd,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,0.75
caregiver,B,intermediate_mapping,conduct,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,B,intermediate_mapping,elimination,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.75
caregiver,B,intermediate_mapping,anxiety,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,0.8333333333333334
caregiver,B,intermediate_mapping,depression,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,C,caregiver_clean_core,adhd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.9166666666666666
caregiver,C,caregiver_clean_core,conduct,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,C,caregiver_clean_core,elimination,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.75
caregiver,C,caregiver_clean_core,anxiety,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,C,caregiver_clean_core,depression,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,C,caregiver_clean_plus_optional_self,adhd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.9166666666666666
caregiver,C,caregiver_clean_plus_optional_self,conduct,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,C,caregiver_clean_plus_optional_self,elimination,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.75
caregiver,C,caregiver_clean_plus_optional_self,anxiety,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
caregiver,C,caregiver_clean_plus_optional_self,depression,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_full_coverage,adhd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_full_coverage,conduct,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_full_coverage,elimination,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.75
psychologist,P,professional_full_coverage,anxiety,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_full_coverage,depression,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_structured_coverage,adhd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.9166666666666666
psychologist,P,professional_structured_coverage,conduct,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_structured_coverage,elimination,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.75
psychologist,P,professional_structured_coverage,anxiety,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
psychologist,P,professional_structured_coverage,depression,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0
