domain,mode,ablation_case,k,delta_ba,delta_pr_auc,removed_features
anxiety,caregiver_full,baseline,0,0.0,0.0,
anxiety,caregiver_full,drop_top3,3,-0.0298075787982528,-0.017471643658055647,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,caregiver_full,drop_top5,5,-0.020717742887498503,-0.01326593096821449,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment|sep_anx_duration_weeks|eng_depression_core_mean
anxiety,psychologist_full,baseline,0,0.0,0.0,
anxiety,psychologist_full,drop_top3,3,-0.007820800377759451,-0.009448133072344822,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,psychologist_full,drop_top5,5,-0.01490378939912651,-0.004037217729949805,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition
anxiety,caregiver_2_3,baseline,0,0.0,0.0,
anxiety,caregiver_2_3,drop_top3,3,-0.02272458977688585,-0.009736657101490853,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,caregiver_2_3,drop_top5,5,-0.0298075787982528,-0.008647194592228291,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment|eng_depression_core_mean|sep_anx_duration_weeks
anxiety,psychologist_2_3,baseline,0,0.0,0.0,
anxiety,psychologist_2_3,drop_top3,3,-0.0014756227127848964,-0.017421279032628245,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,psychologist_2_3,drop_top5,5,-0.0032758824223823035,-0.016503019240937666,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment|sep_anx_duration_weeks|eng_depression_core_mean
depression,psychologist_2_3,baseline,0,0.0,0.0,
depression,psychologist_2_3,drop_top3,3,-0.0028802549332025418,-0.048597626109803005,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child
depression,psychologist_2_3,drop_top5,5,-0.00916166196837842,-0.06422647434114848,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|mdd_07_worthlessness_or_excessive_guilt|mdd_02_loss_of_interest_or_pleasure
elimination,caregiver_full,baseline,0,0.0,0.0,
elimination,caregiver_full,drop_top3,3,-0.028306973400431423,-0.2463384045915522,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week
elimination,caregiver_full,drop_top5,5,-0.02219626168224298,-0.2403899026304872,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive
elimination,psychologist_full,baseline,0,0.0,0.0,
elimination,psychologist_full,drop_top3,3,-0.037922358015816005,-0.19400097845826347,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week
elimination,psychologist_full,drop_top5,5,-0.02336448598130836,-0.23744653177106312,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive
elimination,caregiver_2_3,baseline,0,0.0,0.0,
elimination,caregiver_2_3,drop_top3,3,-0.028306973400431423,-0.2041220326613512,eng_elimination_intensity|enuresis_distress_impairment|enuresis_event_frequency_per_week
elimination,caregiver_2_3,drop_top5,5,-0.3934219985621855,-0.6831479535646037,eng_elimination_intensity|enuresis_distress_impairment|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive
elimination,psychologist_2_3,baseline,0,0.0,0.0,
elimination,psychologist_2_3,drop_top3,3,-0.028306973400431423,-0.21797931639598223,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week
elimination,psychologist_2_3,drop_top5,5,-0.4114845434938893,-0.6859961365882488,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive
