candidate_id,domain,mode,role,v3_feature_set_id,v3_config_id,v3_calibration,v3_threshold_policy,v3_threshold,v3_holdout_precision,v3_holdout_recall,v3_holdout_ba,v3_holdout_pr_auc,v3_holdout_brier
adhd__caregiver_1_3,adhd,caregiver_1_3,caregiver,precision_oriented_subset,rf_regularized,isotonic,balanced,0.05,0.62,0.9893617021276596,0.920846654172638,0.6398511884834684,0.078997662903322
adhd__caregiver_2_3,adhd,caregiver_2_3,caregiver,stability_pruned_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,0.7222222222222222,0.9680851063829788,0.9387057656267226,0.7375230938994777,0.059765742724445
adhd__psychologist_1_3,adhd,psychologist_1_3,psychologist,full_eligible,rf_baseline,isotonic,default_0_5,0.5,0.6174496644295302,0.9787234042553192,0.915527505236468,0.6238363802864415,0.0780898852963551
adhd__psychologist_2_3,adhd,psychologist_2_3,psychologist,balanced_subset,rf_regularized,isotonic,balanced,0.05,0.71875,0.9787234042553192,0.942729577775328,0.7298838407871105,0.0591848249657065
anxiety__caregiver_1_3,anxiety,caregiver_1_3,caregiver,compact_robust_subset,rf_recall_guard,isotonic,precision_min_recall,0.605,0.9,0.627906976744186,0.8063392751741234,0.8030651886480569,0.0598919312846948
anxiety__caregiver_2_3,anxiety,caregiver_2_3,caregiver,precision_oriented_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.5049999999999999,0.95,0.8837209302325582,0.9367843229842994,0.9405128390040636,0.0207487300709346
anxiety__caregiver_full,anxiety,caregiver_full,caregiver,balanced_subset,rf_positive_push_strong,isotonic,balanced,0.145,0.9111111111111112,0.9534883720930232,0.9665919017825524,0.9335693366588522,0.0255939378067374
depression__caregiver_1_3,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard,isotonic,recall_guard,0.3349999999999999,0.7582417582417582,0.8414634146341463,0.8930935163622993,0.7971897068859114,0.0551489992698565
depression__caregiver_2_3,depression,caregiver_2_3,caregiver,full_eligible,rf_precision_push,isotonic,balanced,0.13,0.75,0.8780487804878049,0.9088736364750584,0.8809038329339172,0.0467397860859355
depression__caregiver_full,depression,caregiver_full,caregiver,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.09,0.8043478260869565,0.902439024390244,0.9286064468684888,0.9115860387174166,0.0379881228624139
depression__psychologist_1_3,depression,psychologist_1_3,psychologist,balanced_subset,rf_recall_guard,isotonic,default_0_5,0.5,0.7674418604651163,0.8048780487804879,0.8773133962495404,0.801131217211973,0.0572914138464961
depression__psychologist_2_3,depression,psychologist_2_3,psychologist,stability_pruned_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.62,0.8918918918918919,0.8048780487804879,0.8923887731339626,0.8795058636783943,0.0436441818097012
depression__psychologist_full,depression,psychologist_full,psychologist,full_eligible,rf_precision_push,none,recall_guard,0.3649999999999999,0.8255813953488372,0.8658536585365854,0.9140826081627652,0.947748794869404,0.0336535311155698
elimination__caregiver_1_3,elimination,caregiver_1_3,caregiver,stability_pruned_subset,rf_precision_push,none,default_0_5,0.5,0.7818181818181819,0.8269230769230769,0.8994428468727533,0.9382639506693078,0.0224723810005421
elimination__caregiver_2_3,elimination,caregiver_2_3,caregiver,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,0.981132075471698,1.0,0.9988317757009346,1.0,0.0001472358949656
elimination__psychologist_1_3,elimination,psychologist_1_3,psychologist,full_eligible,rf_baseline,isotonic,default_0_5,0.5,0.7884615384615384,0.7884615384615384,0.8813803019410495,0.8737563002188758,0.0312365922167518
elimination__psychologist_2_3,elimination,psychologist_2_3,psychologist,balanced_subset,rf_positive_push_strong,isotonic,balanced,0.05,0.981132075471698,1.0,0.9988317757009346,1.0,0.0004370981708801
