feature,feature_label_human,feature_description,layer,domain,domains_final,module,criterion_ref,source_label,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,respondability_group,respondent_expected,administered_by,caregiver_answerable_yes_no,psychologist_answerable_yes_no,must_be_self_report_yes_no,is_direct_input,is_transparent_derived,show_in_questionnaire_yes_no,derivable_if_not_shown_yes_no,requires_exact_item_wording,requires_clinician_administration,requires_child_self_report,requires_internal_scoring,questionnaire_section_suggested,questionnaire_subsection_suggested,question_text_needed_yes_no,input_needed_for_adhd,input_needed_for_conduct,input_needed_for_elimination,input_needed_for_anxiety,input_needed_for_depression,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,derived_from_features,internal_scoring_formula_summary,selection_rationale,notes
adhd_context_count,Adhd context count,Input for derived - Adhd context count,dsm5,ADHD,ADHD,derived,C,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
adhd_context_home,Adhd context home,Input for context - Adhd context home,dsm5,adhd,adhd|conduct|depression,context,C,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,83.0,83.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
adhd_context_other,Adhd context other,Input for context - Adhd context other,dsm5,adhd,adhd|depression,context,C,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,132.0,150.0,baja,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,
adhd_context_school,Adhd context school,Input for context - Adhd context school,dsm5,adhd,adhd|depression,context,C,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,84.0,84.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
adhd_hyperimpulsive_symptom_count,Adhd hyperimpulsive symptom count,Input for derived - Adhd hyperimpulsive symptom count,dsm5,ADHD,ADHD,derived,A2,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
adhd_hyperimpulsive_threshold_child,Adhd hyperimpulsive threshold child,Input for derived - Adhd hyperimpulsive threshold child,dsm5,ADHD,ADHD,derived,A2,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
adhd_hypimp_01_fidgets,Adhd hypimp 01 fidgets,Input for core_hyperimpulsive - Adhd hypimp 01 fidgets,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.a,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,1.0,1.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_02_leaves_seat,Adhd hypimp 02 leaves seat,Input for core_hyperimpulsive - Adhd hypimp 02 leaves seat,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.b,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,2.0,2.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_03_runs_or_climbs_inappropriately,Adhd hypimp 03 runs or climbs inappropriately,Input for core_hyperimpulsive - Adhd hypimp 03 runs or climbs inappropriately,dsm5,adhd,adhd|conduct|anxiety|depression,core_hyperimpulsive,A2.c,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,3.0,3.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_04_cannot_play_quietly,Adhd hypimp 04 cannot play quietly,Input for core_hyperimpulsive - Adhd hypimp 04 cannot play quietly,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.d,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
