domain,role,feature,model_importance_score,single_feature_ba_train,questionnaire_rank,priority_bucket,feature_type,composite_importance
adhd,caregiver,adhd_onset_before_12,1.0,0.7923143350604491,85.0,media,history_flag,0.7560115861778005
adhd,caregiver,adhd_inatt_08_easily_distracted,0.21666240078004662,0.8211884026016978,17.0,alta,symptom_item,0.6311323157633619
adhd,caregiver,adhd_inatt_02_sustained_attention_difficulty,0.17427977873482398,0.789264322198949,11.0,alta,symptom_item,0.6183834812732538
adhd,caregiver,adhd_inatt_07_loses_things,0.10847452396903769,0.7913405357733436,16.0,alta,symptom_item,0.5840826666214295
adhd,caregiver,adhd_inatt_06_avoids_sustained_effort,0.09671624327870575,0.8132050858045787,15.0,alta,symptom_item,0.5827046895361403
adhd,caregiver,adhd_inatt_03_seems_not_listening,0.08824074018143953,0.8014000661448573,12.0,alta,symptom_item,0.5820866136738965
adhd,caregiver,adhd_hypimp_04_cannot_play_quietly,0.05540405222271652,0.7857641568368059,4.0,alta,symptom_item,0.5777239802126414
adhd,caregiver,adhd_inatt_09_forgetful_daily_activities,0.09391093196934062,0.8020523279315033,18.0,alta,symptom_item,0.5762890455943193
adhd,caregiver,adhd_hypimp_02_leaves_seat,0.0381875012456331,0.7905780325579685,2.0,alta,symptom_item,0.573722507977436
adhd,caregiver,adhd_hypimp_03_runs_or_climbs_inappropriately,0.03631806547074856,0.7520486532172124,3.0,alta,symptom_item,0.5677103612163822
adhd,caregiver,adhd_inatt_01_attention_to_detail_errors,0.03752051349708949,0.7816025429022893,10.0,alta,symptom_item,0.5615524577452661
adhd,caregiver,adhd_hypimp_01_fidgets,0.003720037922884417,0.7628247528754639,1.0,alta,symptom_item,0.5578448912151579
adhd,caregiver,adhd_hypimp_07_blurts_out,0.017021291464377385,0.7749053761070077,7.0,alta,symptom_item,0.556395205216579
adhd,caregiver,adhd_hypimp_05_driven_by_motor,0.01179104961377841,0.7687869768125528,5.0,alta,symptom_item,0.5563347553129354
adhd,caregiver,adhd_hypimp_09_interrupts_intrudes,0.01797563227370225,0.7766416786094881,9.0,alta,symptom_item,0.5542215670036901
adhd,caregiver,adhd_hypimp_06_talks_excessively,0.009773311308066657,0.7526733546466762,6.0,alta,symptom_item,0.5525018972064221
adhd,caregiver,adhd_inatt_04_fails_to_finish_tasks,0.023318271474987853,0.7843310182633301,13.0,alta,symptom_item,0.5517382262275073
adhd,caregiver,adhd_inatt_05_organization_difficulty,0.027615027371332954,0.7756035718222908,14.0,alta,symptom_item,0.5512960732583416
adhd,caregiver,adhd_hypimp_08_difficulty_waiting_turn,0.007158400739785828,0.763568882519384,8.0,alta,symptom_item,0.5497450959519614
adhd,caregiver,adhd_impairment_school,0.14303209990293736,0.8182302575974718,68.0,media,impairment_item,0.48503543901669083
adhd,caregiver,adhd_impairment_home,0.12276605737113643,0.8172288979531841,67.0,media,impairment_item,0.4777976109904324
adhd,caregiver,adhd_impairment_social,0.0821160141210745,0.7983592400690847,69.0,media,impairment_item,0.456089535433943
adhd,caregiver,adhd_context_home,0.030759220744430014,0.7439275346341822,83.0,media,context_flag,0.409839870450888
adhd,caregiver,adhd_context_school,0.027612167589970472,0.7329676992613825,84.0,media,context_flag,0.40604807878720833
