domain,mode,role,active_model_id,source_campaign_old,feature_set_id_old,pass_name,weight_policy,feature_set_id,feature_list_pipe,model_family,config_id,calibration,threshold_policy,threshold,seed,n_features,train_balanced_accuracy,val_balanced_accuracy,val_precision,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,secondary_max_metric,secondary_metric_anomaly_flag,quality_label,val_selection_score,old_precision,old_recall,old_specificity,old_balanced_accuracy,old_f1,old_roc_auc,old_pr_auc,old_brier,old_confidence_pct,old_final_operational_class,delta_precision,delta_recall,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,old_secondary_anomaly,new_secondary_anomaly,promotion_decision,generalization_ok,material_gain_ok,anomaly_resolution_ok,class_upgrade_candidate,anomaly_guard_ok,root_cause_hypothesis
adhd,psychologist_full,psychologist,adhd__psychologist_full__rebuild_v2__rf__engineered_full,rebuild_v2,engineered_full,pass_a,class_minor_boost,engineered_pruned,adhd_context_other|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_not_better_explained_other_mental|adhd_onset_before_12|age_years|agor_almost_always_triggered|agor_duration_months|agor_escape_help_cognition|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_impairment|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|dmdd_outbursts_severity|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_06_sleep_problems|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_duration_weeks|mdd_impairment|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_depressed_or_irritable_mood|pdd_duration_months_child|pdd_impairment|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_duration_months|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment,rf,rf_regularized_v4,none,balanced,0.64,20270421,100,0.9855216256936024,0.9841803549774004,0.9583333333333334,0.8921568627450981,0.9680851063829787,0.9715025906735751,0.9697938485282769,0.9285714285714286,0.9938540403483629,0.9703114129088792,0.024040567943204284,0.0013412707162019366,0.014386506449123537,0.9938540403483629,yes,bueno,0.9257109869543172,0.9294117647058824,0.8404255319148937,0.9844559585492229,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162288,0.0302329344052168,60.3,ACTIVE_LOW_CONFIDENCE,-0.03725490196078429,0.12765957446808507,0.05735310329621868,0.04588986432561859,0.04318002719265046,-0.006192366462012516,yes,yes,HOLD_FOR_LIMITATION,yes,yes,no,no,no,secondary_metric_anomaly|weighting_boundary_adjustment
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,final_honest_improvement_v1,engineered_pruned,pass_b,none,engineered_pruned_no_eng_v1,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_07_loses_things|age_years|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_impairment|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment,logreg,logreg_balanced_v3,none,balanced,0.85,20270421,59,0.901300515484201,0.9580332900484004,0.9875,0.8888888888888888,0.8372093023255814,0.9771573604060914,0.9071833313658364,0.8622754491017964,0.9788985952071774,0.9344018756014659,0.054234790692463924,-0.05673277456419945,0.050849958682564034,0.9788985952071774,no,bueno,0.9164884681870737,0.8681318681318682,0.9186046511627908,0.9695431472081218,0.9440738991854564,0.8926553672316384,0.9919135875339392,0.9572096459522188,0.0268054004251118,68.5,ACTIVE_LOW_CONFIDENCE,0.020757020757020683,-0.08139534883720934,-0.03689056781961997,-0.030379918129841976,-0.022807770350752876,0.027429390267352124,yes,no,HOLD_FOR_LIMITATION,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,final_honest_improvement_v1,engineered_compact,pass_a,none,full_eligible,adhd_context_home|adhd_context_other|adhd_context_school|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_onset_before_12|age_years|agor_almost_always_triggered|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_impairment|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect|conduct_onset_before_10|dmdd_context_home|dmdd_context_peers|dmdd_context_school|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_onset_before_10|dmdd_outbursts_frequency_per_week|dmdd_outbursts_severity|encopresis_constipation_present|encopresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_visible_deposition_pattern|enuresis_distress_impairment|enuresis_diurnal|enuresis_duration_months_consecutive|enuresis_event_frequency_per_week|enuresis_nocturnal|enuresis_primary_course|enuresis_secondary_course|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_depressed_or_irritable_mood|pdd_duration_months_child|pdd_impairment|pdd_no_gap_gt_2_months|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_children_peer_only_flag|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment,logreg,logreg_regularized_v3,none,balanced,0.73,20270421,126,0.9444969110297878,0.9567642545154055,0.9753086419753086,0.8390804597701149,0.8488372093023255,0.9644670050761421,0.9066521071892338,0.8439306358381503,0.9746488017943572,0.9164530208073066,0.05338598797413931,-0.012267343485617643,0.05011214732617164,0.9746488017943572,no,aceptable,0.9119234426025976,0.8695652173913043,0.9302325581395348,0.9695431472081218,0.9498878526738284,0.898876404494382,0.9929465234328888,0.9704386771709956,0.0260018685275156,71.6,ACTIVE_LOW_CONFIDENCE,-0.030484757621189407,-0.08139534883720922,-0.04323574548459452,-0.054945768656231686,-0.053985656363689016,0.027384119446623705,yes,no,HOLD_FOR_LIMITATION,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,final_honest_improvement_v1,engineered_pruned,pass_b,none,engineered_pruned_no_eng_v1,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|age_years|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_impairment|dmdd_duration_months|dmdd_outbursts_frequency_per_week|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_depressed_or_irritable_mood|pdd_duration_months_child|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment,logreg,logreg_balanced_v3,none,balanced,0.7899999999999999,20270421,60,0.9162043048833275,0.9625782080037776,0.975609756097561,0.891566265060241,0.8604651162790697,0.9771573604060914,0.9188112383425806,0.8757396449704142,0.9794593318380356,0.9313949266154259,0.052063550908564724,-0.04637390312045009,0.043766969661196975,0.9794593318380356,no,bueno,0.918753276882045,0.8247422680412371,0.9302325581395348,0.9568527918781726,0.9435426750088538,0.8743169398907104,0.9918840750796836,0.966312961726849,0.0276760963771888,69.3,ACTIVE_LOW_CONFIDENCE,0.06682399701900388,-0.06976744186046502,-0.0247314366662732,0.0014227050797038787,-0.03491803511142311,0.024387454531375925,yes,no,HOLD_FOR_LIMITATION,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,final_honest_improvement_v1,engineered_pruned,pass_b,cost_asym,dsm5_core_plus_context,agor_almost_always_triggered|agor_avoid_or_need_companion|agor_disproportionate|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_impairment|agor_not_better_explained|agor_not_excessive_due_medical|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|gad_not_better_explained|gad_not_due_substance_medical|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|sep_anx_not_better_explained|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_children_peer_only_flag|social_anxiety_disproportionate|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment|social_anxiety_not_better_explained|social_anxiety_not_due_substance_medical|age_years,hgb,hgb_conservative_v3,none,balanced,0.34,20270421,49,0.9936548223350254,0.9807578798252863,0.9333333333333333,0.8514851485148515,1.0,0.9619289340101523,0.9809644670050761,0.9197860962566845,0.9952780073190887,0.9761406525520069,0.020632188494536154,0.012896942509739162,0.00020658717978983,0.9952780073190887,yes,bueno,0.9229517061112218,0.8421052631578947,0.9302325581395348,0.9619289340101524,0.9460807460748436,0.8839779005524862,0.9919135875339392,0.9591820433560584,0.026434653046354,70.5,ACTIVE_LOW_CONFIDENCE,0.009379885356956774,0.06976744186046524,0.03488372093023251,0.03580819570419835,0.016958609195948493,-0.005802464551817845,yes,yes,HOLD_FOR_LIMITATION,yes,yes,no,no,no,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,caregiver_full,caregiver,conduct__caregiver_full__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,conduct_honest_retrain_v1,engineered_compact_no_shortcuts_v1,pass_b,none,dsm5_core_plus_context,conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect|conduct_onset_before_10|age_years,extra_trees,extra_precision_guard_v3,none,balanced,0.16999999999999998,20270421,22,0.9958376690946931,0.9984423676012462,0.99375,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,1.0,1.0,0.004063457795468049,-0.0026046985065530937,4.867601246183462e-06,1.0,yes,bueno,0.9519280584265595,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746875,0.9499594639068576,0.0622859399714159,67.1,ACTIVE_LOW_CONFIDENCE,0.18609651218346868,0.08125000000000004,0.09375,0.13723561239547466,0.05004053609314241,-0.058222482175947846,no,yes,PROMOTE_NOW,yes,yes,no,no,yes,confidence_alignment_check|dsm5_core_signal_strengthened
conduct,psychologist_full,psychologist,conduct__psychologist_full__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,conduct_honest_retrain_v1,engineered_compact_no_shortcuts_v1,pass_b,none,dsm5_core_plus_context,conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect|conduct_no_antisocial_personality_if_18plus|conduct_onset_before_10|age_years,hgb,hgb_conservative_v3,none,balanced,0.08,20270421,23,0.9942767950052029,0.9984423676012462,0.99375,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,0.9999414062499999,0.9998828094481229,0.0024097644020472154,-0.004165572596043221,4.867601246183462e-06,0.9999414062499999,yes,bueno,0.9519213048070414,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.975634765625,0.9413294156917726,0.0601968414247834,72.4,ACTIVE_MODERATE_CONFIDENCE,0.14985818403762607,0.08750000000000002,0.08437499999999998,0.12000785832561534,0.05855339375635027,-0.05778707702273618,no,yes,PROMOTE_NOW,yes,yes,no,no,yes,confidence_alignment_check|dsm5_core_signal_strengthened
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,pass_b,mode_fragile,dsm5_core_only,dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts,extra_trees,extra_precision_guard_v3,none,balanced,0.34,20270421,11,0.9761506276150628,0.9477877190832209,0.7452830188679245,0.696078431372549,0.8658536585365854,0.9221105527638191,0.8939821056502022,0.7717391304347826,0.9602586101237897,0.8145472246918155,0.06109397466107317,0.02836290853184187,0.053805613433018706,0.9602586101237897,no,malo,0.846446231017377,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,2.7,ACTIVE_LIMITED_USE,-0.10989171788118235,0.20731707317073167,0.08104547125873263,0.04690691566968197,0.04978221716469855,0.0010268760952757694,no,no,HOLD_FOR_LIMITATION,no,yes,no,no,yes,limited_separability_or_underfit|recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,hybrid_final_decisive_rescue_v5,precision_oriented_subset,pass_b,cost_asym,dsm5_core_plus_context,dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_onset_before_10|dmdd_outbursts_frequency_per_week|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|age_years,extra_trees,extra_precision_guard_v3,none,balanced,0.44,20270421,17,0.9903765690376569,0.962679249908077,0.8,0.7888888888888889,0.8658536585365854,0.9522613065326633,0.9090574825346243,0.8255813953488372,0.9788883441598235,0.9089426302418846,0.04491646548915851,0.027697319129579956,0.0536217673734527,0.9788883441598235,no,aceptable,0.8794684544369046,0.7789473684210526,0.902439024390244,0.9472361809045228,0.9248376026473832,0.8361581920903954,0.9791334722392452,0.9185052705693368,0.0439804889728679,48.4,ACTIVE_LIMITED_USE,0.009941520467836251,-0.03658536585365868,-0.015780120112758977,-0.010576796741558203,-0.009562640327452243,0.0009359765162906056,no,no,HOLD_FOR_LIMITATION,yes,no,no,yes,yes,precision_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_full,caregiver,depression__caregiver_full__boosted_v3__catboost__full_eligible,boosted_v3,full_eligible,pass_b,cost_asym,dsm5_core_only,dmdd_context_home|dmdd_context_peers|dmdd_context_school|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_onset_before_10|dmdd_outbursts_frequency_per_week|dmdd_outbursts_severity|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_depressed_or_irritable_mood|pdd_duration_months_child|pdd_impairment|pdd_no_gap_gt_2_months,hgb,hgb_conservative_v3,none,balanced,0.33,20270421,29,0.9832635983263598,0.9725456551047922,0.826530612244898,0.8,0.975609756097561,0.949748743718593,0.962679249908077,0.8791208791208791,0.9883870572374065,0.941776364220716,0.03270758175827193,0.010717943221567605,0.009866405196715222,0.9883870572374065,yes,aceptable,0.8878033047708699,0.8409090909090909,0.9487179487179488,0.965174129353234,0.9569460390355912,0.891566265060241,0.9909108304630694,0.9434742112852106,0.0293666393254193,57.9,ACTIVE_LIMITED_USE,-0.040909090909090895,0.026891807379612165,0.005733210872485794,-0.012445385939361842,-0.0016978470644946064,0.0033409424328526317,yes,yes,HOLD_FOR_LIMITATION,yes,no,no,yes,no,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
