disorder,criterion_dsm5,instrument_or_source_proxy,feature_in_current_champion,feature_available_in_dataset,mapping_quality,precision_risk_level,recommendation
adhd,Inattention symptoms,swan_inattention|conners_cognitive|sdq_hyperactivity|cbcl_attention,swan_inattention_total;conners_cognitive_problems;cbcl_attention_problems_proxy;sdq_hyperactivity_inattention,conners_cognitive_problems;cbcl_attention_problems_proxy;swan_inattention_total;sdq_hyperactivity_inattention,high,low,retain_and_monitor
adhd,Hyperactivity/impulsivity,swan_hyperactive|conners_hyperactivity|sdq_hyperactivity,swan_hyperactive_impulsive_total;conners_hyperactivity;sdq_hyperactivity_inattention,conners_hyperactivity;sdq_hyperactivity_inattention;swan_hyperactive_impulsive_total,high,low,retain_and_monitor
adhd,Cross-setting impairment,sdq_impact|conners_total|cbcl_externalizing,conners_total;cbcl_externalizing_proxy;sdq_impact,cbcl_externalizing_proxy;conners_total;sdq_impact,high,low,retain_and_monitor
adhd,Functional interference,total|impact,swan_hyperactive_impulsive_total;swan_inattention_total;swan_total;conners_total;sdq_impact;sdq_total_difficulties,mfq_p_total;sdq_total_difficulties;swan_inattention_total;ari_p_symptom_total;scared_p_total;mfq_sr_total;conners_total;ari_sr_symptom_total,high,low,retain_and_monitor
anxiety,Core anxiety symptoms,scared|cbcl_anxious|sdq_emotional,has_scared_p;scared_p_01;scared_p_02;scared_p_03;scared_p_04;scared_p_05,scared_p_25;scared_sr_15;scared_p_10;scared_p_09;has_scared_sr;scared_sr_25;scared_p_19;scared_p_panic_somatic,high,low,retain_and_monitor
anxiety,Panic/somatic,panic|somatic,scared_p_panic_somatic;scared_sr_panic_somatic,scared_p_panic_somatic;scared_sr_panic_somatic,high,low,retain_and_monitor
anxiety,Avoidance and social fear,social|school_avoidance|separation,scared_p_school_avoidance;scared_p_separation_anxiety;scared_p_social_anxiety;scared_sr_school_avoidance;scared_sr_separation_anxiety;scared_sr_social_anxiety,scared_sr_separation_anxiety;scared_p_social_anxiety;scared_p_separation_anxiety;scared_sr_social_anxiety;sdq_prosocial_behavior;scared_sr_school_avoidance;scared_p_school_avoidance,high,low,retain_and_monitor
anxiety,Functional impairment,sdq_impact|total,scared_p_total;scared_sr_total;sdq_impact;sdq_total_difficulties,mfq_p_total;sdq_total_difficulties;swan_inattention_total;ari_p_symptom_total;scared_p_total;mfq_sr_total;conners_total;ari_sr_symptom_total,high,low,retain_and_monitor
depression,Depressed mood / anhedonia proxy,mfq|cdi|cbcl_anxious_depressed,cbcl_anxious_depressed_proxy;mfq_p_total,mfq_sr_01;mfq_p_08;mfq_sr_18;cdi_13;cdi_04;mfq_sr_30;mfq_p_total;cdi_25,high,low,retain_and_monitor
depression,Neurovegetative / cognitive symptom proxy,mfq|cdi|sdq_emotional,mfq_p_total;sdq_emotional_symptoms,mfq_sr_01;mfq_p_08;mfq_sr_18;cdi_13;cdi_04;mfq_sr_30;sdq_emotional_symptoms;mfq_p_total,high,low,retain_and_monitor
depression,Severity and persistence proxy,mfq_total|cdi_total|internalizing,cbcl_internalizing_proxy,ysr_internalizing_proxy;cbcl_internalizing_proxy;cdi_total,high,low,retain_and_monitor
depression,Functional impairment,sdq_impact|total_difficulties,sdq_total_difficulties;sdq_impact,sdq_total_difficulties;sdq_impact,high,low,retain_and_monitor
conduct,Aggression to people/animals proxy,cbcl_aggressive|ari|icut,has_icut;icut_total;has_ari_p;ari_p_symptom_total;has_ari_sr;ari_sr_symptom_total,cbcl_aggressive_behavior_proxy;icut_09;icut_uncaring;ari_p_06;icut_23;icut_19;icut_07;ari_sr_06,high,low,retain_and_monitor
conduct,Rule violation / deceit proxy,cbcl_rule_breaking|sdq_conduct|conduct,cbcl_rule_breaking_proxy;sdq_conduct_problems,cbcl_rule_breaking_proxy;target_conduct;sdq_conduct_problems;conners_conduct_problems,high,low,retain_and_monitor
conduct,Callous-unemotional traits,icut_callousness|icut_uncaring|icut_total,icut_total,icut_uncaring;icut_callousness;icut_total,high,low,retain_and_monitor
conduct,Cross-context persistence,cbcl_externalizing|sdq_total|ari_sr|ari_p,has_ari_p;ari_p_symptom_total;has_ari_sr;ari_sr_symptom_total;cbcl_externalizing_proxy;sdq_total_difficulties,ari_p_06;ari_sr_06;ari_sr_01;sdq_total_difficulties;ari_p_05;ari_sr_04;ari_sr_02;ari_p_01,high,low,retain_and_monitor
elimination,Enuresis/encopresis direct evidence,elimination|enuresis|encopresis,,target_elimination,medium,medium,add_to_model_variant_and_validate_specificity
elimination,Internalizing/externalizing comorbidity context,cbcl|sdq,has_cbcl;cbcl_aggressive_behavior_proxy;cbcl_anxious_depressed_proxy;cbcl_attention_problems_proxy;cbcl_externalizing_proxy;cbcl_internalizing_proxy,cbcl_054;cbcl_035;cbcl_067;cbcl_006;cbcl_013;cbcl_002;sdq_16;cbcl_058,high,low,retain_and_monitor
elimination,Functional impact proxy,sdq_impact|total_difficulties,sdq_impact;sdq_total_difficulties,sdq_total_difficulties;sdq_impact,high,low,retain_and_monitor
elimination,Missingness/availability robustness,has_|__missing,has_cbcl;has_sdq,has_scared_sr;has_conners;has_cbcl;has_scared_p;has_swan;has_ari_sr;has_icut;has_cdi,high,low,retain_and_monitor
