weakness_id,mode,domain,category,severity,evidence_metric,evidence_value,source_file,description,actionable
SUSP_ANX_PSY_001,psychologist,anxiety,extreme_pattern,high,balanced_accuracy,0.9977272727272728,data/final_full_validation_v9/audits/suspicious_pattern_audit.csv,Near-perfect performance needs leakage/reuse audit.,yes
SUSP_ANX_PSY_004,psychologist,anxiety,extreme_pattern,high,mean_abs_prob_error,0.0041100130272544,data/final_full_validation_v9/audits/suspicious_pattern_audit.csv,"Very sharp separation between probabilities and labels; could reflect strong signal, not leakage by itself.",yes
SUSP_ANX_PSY_005,psychologist,anxiety,extreme_pattern,high,top_univariate_auc,0.9950782102948798,data/final_full_validation_v9/audits/suspicious_pattern_audit.csv,Very high-signal anxiety features exist; may explain near-perfect without direct leakage.,yes
SLICE_caregiver_conduct_site_CUNY,caregiver,conduct,fragile_slice,high,delta_balanced_accuracy_vs_overall,-0.0465547464940669,data/final_full_validation_v9/subgroups/subgroup_metrics.csv,Fragile slice site=CUNY (n=54).,yes
SLICE_caregiver_depression_site_Staten_Island,caregiver,depression,fragile_slice,high,delta_balanced_accuracy_vs_overall,-0.0692658635925332,data/final_full_validation_v9/subgroups/subgroup_metrics.csv,Fragile slice site=Staten Island (n=78).,yes
SLICE_caregiver_elimination_source_mix_mid_gap,caregiver,elimination,fragile_slice,high,delta_balanced_accuracy_vs_overall,-0.1145548654244307,data/final_full_validation_v9/subgroups/subgroup_metrics.csv,Fragile slice source_mix=mid_gap (n=53).,yes
SLICE_psychologist_conduct_site_CUNY,psychologist,conduct,fragile_slice,high,delta_balanced_accuracy_vs_overall,-0.0208400755124056,data/final_full_validation_v9/subgroups/subgroup_metrics.csv,Fragile slice site=CUNY (n=54).,yes
SLICE_psychologist_elimination_source_mix_mid_gap,psychologist,elimination,fragile_slice,high,delta_balanced_accuracy_vs_overall,-0.1154492753623188,data/final_full_validation_v9/subgroups/subgroup_metrics.csv,Fragile slice source_mix=mid_gap (n=53).,yes
RECALL_caregiver_elimination,caregiver,elimination,low_recall,high,recall,0.7018633540372671,data/final_full_validation_v9/inventory/recomputed_metrics_v9.csv,Recall below desired hardening target (>=0.82).,yes
RECALL_psychologist_elimination,psychologist,elimination,low_recall,high,recall,0.6956521739130435,data/final_full_validation_v9/inventory/recomputed_metrics_v9.csv,Recall below desired hardening target (>=0.82).,yes
OUTPUT_caregiver_elimination,caregiver,elimination,output_caveat_or_uncertainty,high,risk_uncertain_rate,0.1643356643356643,data/final_full_validation_v9/operational/output_behavior_matrix.csv,High uncertain/caveat pressure in operational outputs.,yes
OUTPUT_psychologist_elimination,psychologist,elimination,output_caveat_or_uncertainty,high,risk_uncertain_rate,0.0069930069930069,data/final_full_validation_v9/operational/output_behavior_matrix.csv,High uncertain/caveat pressure in operational outputs.,yes
OUTPUT_psychologist_adhd,psychologist,adhd,output_caveat_or_uncertainty,medium,risk_uncertain_rate,0.1328671328671328,data/final_full_validation_v9/operational/output_behavior_matrix.csv,High uncertain/caveat pressure in operational outputs.,yes
OUTPUT_psychologist_anxiety,psychologist,anxiety,output_caveat_or_uncertainty,medium,risk_uncertain_rate,0.2552447552447552,data/final_full_validation_v9/operational/output_behavior_matrix.csv,High uncertain/caveat pressure in operational outputs.,yes
SOURCE_caregiver_conduct,caregiver,conduct,source_mix_shift_risk,medium,flagged_patterns,1.0,data/final_full_validation_v9/tables/final_validation_diagnosis_matrix.csv,Pattern-level signal suggests source/coverage shift sensitivity.,yes
SOURCE_caregiver_elimination,caregiver,elimination,source_mix_shift_risk,medium,flagged_patterns,1.0,data/final_full_validation_v9/tables/final_validation_diagnosis_matrix.csv,Pattern-level signal suggests source/coverage shift sensitivity.,yes
SOURCE_psychologist_anxiety,psychologist,anxiety,source_mix_shift_risk,medium,flagged_patterns,3.0,data/final_full_validation_v9/tables/final_validation_diagnosis_matrix.csv,Pattern-level signal suggests source/coverage shift sensitivity.,yes
SOURCE_psychologist_conduct,psychologist,conduct,source_mix_shift_risk,medium,flagged_patterns,1.0,data/final_full_validation_v9/tables/final_validation_diagnosis_matrix.csv,Pattern-level signal suggests source/coverage shift sensitivity.,yes
SOURCE_psychologist_elimination,psychologist,elimination,source_mix_shift_risk,medium,flagged_patterns,1.0,data/final_full_validation_v9/tables/final_validation_diagnosis_matrix.csv,Pattern-level signal suggests source/coverage shift sensitivity.,yes
