feature,mode,before,after
adhd_context_home,caregiver_1_3,no,yes
adhd_context_other,caregiver_1_3,no,yes
adhd_context_other,caregiver_2_3,no,yes
adhd_context_other,psychologist_2_3,no,yes
adhd_context_school,caregiver_1_3,no,yes
adhd_hypimp_01_fidgets,psychologist_1_3,yes,no
adhd_hypimp_03_runs_or_climbs_inappropriately,psychologist_1_3,yes,no
adhd_hypimp_06_talks_excessively,psychologist_1_3,yes,no
adhd_hypimp_09_interrupts_intrudes,psychologist_1_3,yes,no
adhd_impairment_home,caregiver_1_3,no,yes
adhd_impairment_school,caregiver_1_3,no,yes
adhd_impairment_social,caregiver_1_3,no,yes
conduct_impairment_global,caregiver_1_3,no,yes
adhd_onset_before_12,caregiver_1_3,no,yes
adhd_onset_before_12,psychologist_1_3,no,yes
adhd_not_better_explained_other_mental,psychologist_2_3,no,yes
agor_impairment,caregiver_1_3,no,yes
gad_impairment,caregiver_1_3,no,yes
sep_anx_impairment,caregiver_1_3,no,yes
social_anxiety_impairment,caregiver_1_3,no,yes
pdd_01_appetite_change,caregiver_2_3,no,yes
pdd_01_appetite_change,psychologist_2_3,no,yes
pdd_05_concentration_difficulty,caregiver_2_3,no,yes
pdd_05_concentration_difficulty,psychologist_2_3,no,yes
pdd_depressed_or_irritable_mood,caregiver_1_3,no,yes
pdd_depressed_or_irritable_mood,caregiver_2_3,no,yes
pdd_depressed_or_irritable_mood,psychologist_1_3,no,yes
pdd_duration_months_child,caregiver_1_3,no,yes
pdd_duration_months_child,psychologist_1_3,no,yes
pdd_impairment,caregiver_1_3,no,yes
pdd_impairment,caregiver_2_3,no,yes
pdd_impairment,psychologist_1_3,no,yes
pdd_impairment,psychologist_2_3,no,yes
mdd_02_loss_of_interest_or_pleasure,psychologist_1_3,yes,no
mdd_03_weight_or_appetite_change,psychologist_1_3,yes,no
mdd_05_psychomotor_change,psychologist_1_3,yes,no
mdd_06_fatigue_or_low_energy,psychologist_1_3,yes,no
mdd_07_worthlessness_or_excessive_guilt,psychologist_1_3,yes,no
mdd_08_concentration_or_decision_difficulty,psychologist_1_3,yes,no
mdd_09_death_or_suicidal_thoughts,psychologist_1_3,yes,no
mdd_duration_weeks,caregiver_1_3,no,yes
mdd_duration_weeks,psychologist_1_3,no,yes
mdd_impairment,caregiver_1_3,no,yes
mdd_impairment,psychologist_1_3,no,yes
dmdd_context_home,psychologist_1_3,no,yes
dmdd_context_peers,psychologist_1_3,no,yes
dmdd_context_school,psychologist_1_3,no,yes
dmdd_duration_months,caregiver_1_3,no,yes
dmdd_duration_months,psychologist_1_3,no,yes
dmdd_onset_before_10,caregiver_2_3,yes,no
dmdd_onset_before_10,psychologist_2_3,yes,no
dmdd_outbursts_severity,caregiver_2_3,no,yes
encopresis_constipation_present,caregiver_2_3,no,yes
encopresis_constipation_present,psychologist_2_3,no,yes
encopresis_duration_months_consecutive,psychologist_1_3,no,yes
encopresis_not_due_substance_medical,psychologist_2_3,no,yes
enuresis_distress_impairment,caregiver_1_3,no,yes
enuresis_diurnal,psychologist_2_3,no,yes
enuresis_duration_months_consecutive,caregiver_1_3,no,yes
enuresis_duration_months_consecutive,psychologist_1_3,no,yes
enuresis_event_frequency_per_week,psychologist_1_3,yes,no
enuresis_nocturnal,caregiver_2_3,no,yes
enuresis_nocturnal,psychologist_1_3,no,yes
enuresis_nocturnal,psychologist_2_3,no,yes
enuresis_not_due_substance_medical,psychologist_2_3,no,yes
enuresis_primary_course,caregiver_2_3,no,yes
enuresis_primary_course,psychologist_1_3,no,yes
enuresis_primary_course,psychologist_2_3,no,yes
