task,model_id,dataset_name,version,metric_primary,metric_secondary,n_features,artifact_pipeline_path
binary,dataset_adhd_clinical__strict_no_leakage,dataset_adhd_clinical,strict_no_leakage,0.8373511904761904,0.79375,35,artifacts\models\binary\dataset_adhd_clinical__strict_no_leakage\pipeline.joblib
binary,dataset_adhd_items__strict_no_leakage,dataset_adhd_items,strict_no_leakage,0.8273809523809523,0.75,335,artifacts\models\binary\dataset_adhd_items__strict_no_leakage\pipeline.joblib
binary,dataset_adhd_minimal__strict_no_leakage,dataset_adhd_minimal,strict_no_leakage,0.8371031746031745,0.825,25,artifacts\models\binary\dataset_adhd_minimal__strict_no_leakage\pipeline.joblib
binary,dataset_anxiety_combined__strict_no_leakage,dataset_anxiety_combined,strict_no_leakage,0.8415674603174603,0.9206349206349206,35,artifacts\models\binary\dataset_anxiety_combined__strict_no_leakage\pipeline.joblib
binary,dataset_anxiety_items__strict_no_leakage,dataset_anxiety_items,strict_no_leakage,0.8497023809523809,0.7619047619047619,260,artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\pipeline.joblib
binary,dataset_anxiety_parent__strict_no_leakage,dataset_anxiety_parent,strict_no_leakage,0.8380456349206349,0.7698412698412699,27,artifacts\models\binary\dataset_anxiety_parent__strict_no_leakage\pipeline.joblib
binary,dataset_conduct_clinical__strict_no_leakage,dataset_conduct_clinical,strict_no_leakage,0.8559718969555035,0.7857142857142857,37,artifacts\models\binary\dataset_conduct_clinical__strict_no_leakage\pipeline.joblib
binary,dataset_conduct_items__strict_no_leakage,dataset_conduct_items,strict_no_leakage,0.8461163153786104,0.7619047619047619,330,artifacts\models\binary\dataset_conduct_items__strict_no_leakage\pipeline.joblib
binary,dataset_conduct_minimal__strict_no_leakage,dataset_conduct_minimal,strict_no_leakage,0.8868071818891491,0.9047619047619048,23,artifacts\models\binary\dataset_conduct_minimal__strict_no_leakage\pipeline.joblib
binary,dataset_depression_combined__strict_no_leakage,dataset_depression_combined,strict_no_leakage,0.87578125,0.9,25,artifacts\models\binary\dataset_depression_combined__strict_no_leakage\pipeline.joblib
binary,dataset_depression_items__strict_no_leakage,dataset_depression_items,strict_no_leakage,0.8541666666666667,0.8333333333333334,261,artifacts\models\binary\dataset_depression_items__strict_no_leakage\pipeline.joblib
binary,dataset_depression_parent__strict_no_leakage,dataset_depression_parent,strict_no_leakage,0.8796875,0.9,21,artifacts\models\binary\dataset_depression_parent__strict_no_leakage\pipeline.joblib
binary,dataset_elimination_core__strict_no_leakage,dataset_elimination_core,strict_no_leakage,0.699813258636788,0.7647058823529411,17,artifacts\models\binary\dataset_elimination_core__strict_no_leakage\pipeline.joblib
binary,dataset_elimination_items__strict_no_leakage,dataset_elimination_items,strict_no_leakage,0.6509103641456583,0.6470588235294118,162,artifacts\models\binary\dataset_elimination_items__strict_no_leakage\pipeline.joblib
binary,dataset_adhd_clinical__research_extended,dataset_adhd_clinical,research_extended,0.8800099206349206,0.91875,36,artifacts\models\binary\dataset_adhd_clinical__research_extended\pipeline.joblib
binary,dataset_adhd_items__research_extended,dataset_adhd_items,research_extended,0.8487599206349206,0.85625,336,artifacts\models\binary\dataset_adhd_items__research_extended\pipeline.joblib
binary,dataset_adhd_minimal__research_extended,dataset_adhd_minimal,research_extended,0.8992559523809525,0.89375,26,artifacts\models\binary\dataset_adhd_minimal__research_extended\pipeline.joblib
binary,dataset_anxiety_combined__research_extended,dataset_anxiety_combined,research_extended,0.8986607142857144,0.9285714285714286,36,artifacts\models\binary\dataset_anxiety_combined__research_extended\pipeline.joblib
binary,dataset_anxiety_items__research_extended,dataset_anxiety_items,research_extended,0.8682539682539683,0.9365079365079364,261,artifacts\models\binary\dataset_anxiety_items__research_extended\pipeline.joblib
binary,dataset_anxiety_parent__research_extended,dataset_anxiety_parent,research_extended,0.9136904761904762,0.9523809523809524,28,artifacts\models\binary\dataset_anxiety_parent__research_extended\pipeline.joblib
binary,dataset_conduct_clinical__research_extended,dataset_conduct_clinical,research_extended,0.9249609679937548,0.9523809523809524,38,artifacts\models\binary\dataset_conduct_clinical__research_extended\pipeline.joblib
binary,dataset_conduct_items__research_extended,dataset_conduct_items,research_extended,0.9102263856362216,0.9761904761904762,331,artifacts\models\binary\dataset_conduct_items__research_extended\pipeline.joblib
binary,dataset_conduct_minimal__research_extended,dataset_conduct_minimal,research_extended,0.9035909445745512,0.8809523809523809,24,artifacts\models\binary\dataset_conduct_minimal__research_extended\pipeline.joblib
binary,dataset_depression_combined__research_extended,dataset_depression_combined,research_extended,0.8807291666666667,0.9333333333333332,26,artifacts\models\binary\dataset_depression_combined__research_extended\pipeline.joblib
binary,dataset_depression_items__research_extended,dataset_depression_items,research_extended,0.862109375,0.9,262,artifacts\models\binary\dataset_depression_items__research_extended\pipeline.joblib
binary,dataset_depression_parent__research_extended,dataset_depression_parent,research_extended,0.878515625,0.8,22,artifacts\models\binary\dataset_depression_parent__research_extended\pipeline.joblib
binary,dataset_elimination_core__research_extended,dataset_elimination_core,research_extended,0.8415032679738561,0.7941176470588235,18,artifacts\models\binary\dataset_elimination_core__research_extended\pipeline.joblib
binary,dataset_elimination_items__research_extended,dataset_elimination_items,research_extended,0.6742530345471522,0.5588235294117647,163,artifacts\models\binary\dataset_elimination_items__research_extended\pipeline.joblib
