mode,domain,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier,material_gain
caregiver,adhd,-0.17332930330331242,0.10099775340293382,0.04882012022478277,-0.18564044523980083,-0.030532858790162203,True
caregiver,anxiety,0.1596412540352794,-0.02404862579281164,0.02197141852952844,0.017458758081042025,-0.0140414072897906,True
caregiver,conduct,0.01602159889831145,0.13749999999999996,0.07014506396878695,0.05068609620217879,-0.0391013281478175,True
caregiver,depression,-0.09398151614921402,-0.11696712619300109,-0.05162911541951909,-0.08618857069316588,-0.007237014894114803,False
caregiver,elimination,0.09236326109391124,0.12243191591017688,0.13887950935695736,0.04460129198007745,-0.1279050810066652,True
psychologist,adhd,-0.0017183503836317726,0.15131492004757519,0.09718077608596387,-0.009234486350043758,-0.0680500738969306,True
psychologist,anxiety,-0.0882967607105537,-0.0778717406624384,-0.04808446285544643,-0.03701186071840601,0.0176593444739674,False
psychologist,conduct,0.04212337337337346,0.13124999999999998,0.07187443290082574,0.05646866774031156,-0.0415403494793891,True
psychologist,depression,-0.04531174407353644,-0.1613997879109227,-0.06975702169944431,-0.05193030766720608,-0.011661882557659098,False
psychologist,elimination,0.10988583290088227,0.0020305781175347093,0.09867884046063657,0.040111676831939835,-0.12320752155512858,True
