domain,mode,old_active_model_id,promotion_decision,new_model_family,new_feature_set_id,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,root_cause_hypothesis
adhd,psychologist_full,adhd__psychologist_full__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,rf,engineered_pruned,0.05735310329621868,0.04588986432561859,0.04318002719265046,-0.006192366462012516,secondary_metric_anomaly|weighting_boundary_adjustment
anxiety,caregiver_2_3,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,-0.03689056781961997,-0.030379918129841976,-0.022807770350752876,0.027429390267352124,secondary_metric_anomaly
anxiety,caregiver_full,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,logreg,full_eligible,-0.04323574548459452,-0.054945768656231686,-0.053985656363689016,0.027384119446623705,secondary_metric_anomaly
anxiety,psychologist_2_3,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,-0.0247314366662732,0.0014227050797038787,-0.03491803511142311,0.024387454531375925,secondary_metric_anomaly
anxiety,psychologist_full,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,dsm5_core_plus_context,0.03488372093023251,0.03580819570419835,0.016958609195948493,-0.005802464551817845,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,caregiver_full,conduct__caregiver_full__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,PROMOTE_NOW,extra_trees,dsm5_core_plus_context,0.09375,0.13723561239547466,0.05004053609314241,-0.058222482175947846,confidence_alignment_check|dsm5_core_signal_strengthened
conduct,psychologist_full,conduct__psychologist_full__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,PROMOTE_NOW,hgb,dsm5_core_plus_context,0.08437499999999998,0.12000785832561534,0.05855339375635027,-0.05778707702273618,confidence_alignment_check|dsm5_core_signal_strengthened
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,extra_trees,dsm5_core_only,0.08104547125873263,0.04690691566968197,0.04978221716469855,0.0010268760952757694,limited_separability_or_underfit|recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_2_3,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,extra_trees,dsm5_core_plus_context,-0.015780120112758977,-0.010576796741558203,-0.009562640327452243,0.0009359765162906056,precision_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,hgb,dsm5_core_only,0.005733210872485794,-0.012445385939361842,-0.0016978470644946064,0.0033409424328526317,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,psychologist_1_3,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,HOLD_FOR_LIMITATION,extra_trees,dsm5_core_only,0.029936266699350345,-0.010869565217391353,0.046416099388241205,0.004563539985704669,limited_separability_or_underfit|precision_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,psychologist_full,depression__psychologist_full__boosted_v3__hgb__full_eligible,HOLD_FOR_LIMITATION,hgb,dsm5_core_only,-0.0025267165450242324,-0.029726188012966448,-0.015195558839227297,0.010031025557716521,secondary_metric_anomaly|dsm5_core_signal_strengthened
elimination,caregiver_1_3,elimination__caregiver_1_3__boosted_v3__extra_trees__boosted_eng_full,HOLD_FOR_LIMITATION,rf,engineered_full,-0.019475370698570305,-0.027472527472527486,-0.006360140127344205,-0.000981146582473686,secondary_metric_anomaly
elimination,caregiver_2_3,elimination__caregiver_2_3__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,hgb,dsm5_core_only,0.00116822429906549,0.009169458649268103,0.04639748785295461,9.048959531226392e-05,secondary_metric_anomaly|dsm5_core_signal_strengthened
elimination,caregiver_full,elimination__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,hgb,dsm5_core_plus_context,0.00116822429906549,0.009169458649268103,0.05448442293510425,-0.00036270659237370127,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
elimination,psychologist_1_3,elimination__psychologist_1_3__boosted_v3__extra_trees__boosted_eng_full,HOLD_FOR_LIMITATION,logreg,engineered_compact,0.032381261765539016,-0.007223942208462453,-0.020771088148298977,0.011340189692394056,secondary_metric_anomaly|weighting_boundary_adjustment
elimination,psychologist_2_3,elimination__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,dsm5_core_only,0.00116822429906549,0.009169458649268103,0.021351931557398562,-0.0001620087020848364,secondary_metric_anomaly|dsm5_core_signal_strengthened
elimination,psychologist_full,elimination__psychologist_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,rf,dsm5_core_only,0.002336448598130869,0.018513573653760496,0.008243554130458408,0.00040211713634475104,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
