domain,role,mode,feature_set_id,feature_order,feature
elimination,caregiver,caregiver_1_3,ranked_direct,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_1_3,ranked_direct,2,enuresis_distress_impairment
elimination,caregiver,caregiver_1_3,ranked_direct,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_1_3,ranked_direct,4,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_1_3,no_top1_direct,1,enuresis_distress_impairment
elimination,caregiver,caregiver_1_3,no_top1_direct,2,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_1_3,no_top1_direct,3,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_1_3,no_top1_direct,4,enuresis_nocturnal
elimination,caregiver,caregiver_1_3,no_top2_direct,1,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_1_3,no_top2_direct,2,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_1_3,no_top2_direct,3,enuresis_nocturnal
elimination,caregiver,caregiver_1_3,no_top2_direct,4,enuresis_primary_course
elimination,caregiver,caregiver_1_3,balanced_direct,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_1_3,balanced_direct,2,enuresis_distress_impairment
elimination,caregiver,caregiver_1_3,balanced_direct,3,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_1_3,balanced_direct,4,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_1_3,enuresis_core,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_1_3,enuresis_core,2,enuresis_distress_impairment
elimination,caregiver,caregiver_1_3,enuresis_core,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_1_3,enuresis_core,4,enuresis_nocturnal
elimination,caregiver,caregiver_1_3,encopresis_augmented,1,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_1_3,encopresis_augmented,2,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_1_3,encopresis_augmented,3,encopresis_constipation_present
elimination,caregiver,caregiver_1_3,encopresis_augmented,4,encopresis_visible_deposition_pattern
