domain,role,feature,single_feature_ba_train,questionnaire_rank,priority_bucket,feature_type,composite_importance
elimination,caregiver,enuresis_event_frequency_per_week,0.8737542362244257,37.0,alta,symptom_item,0.8395798208149156
elimination,caregiver,enuresis_distress_impairment,0.9059620936362496,72.0,media,impairment_item,0.7843699357070136
elimination,caregiver,enuresis_duration_months_consecutive,0.8183632483996486,90.0,media,duration_item,0.7402927353109353
elimination,caregiver,encopresis_event_frequency_per_month,0.5,36.0,alta,symptom_item,0.6527777777777778
elimination,caregiver,enuresis_nocturnal,0.8288188778712188,144.0,baja,specifier_item,0.6101038833800538
elimination,caregiver,enuresis_primary_course,0.8247018953181875,146.0,baja,course_item,0.6080358791659431
elimination,caregiver,encopresis_duration_months_consecutive,0.5,89.0,media,duration_item,0.581123595505618
elimination,caregiver,encopresis_constipation_present,0.5,142.0,baja,specifier_item,0.4457042253521127
elimination,caregiver,enuresis_diurnal,0.5,143.0,baja,specifier_item,0.4456993006993007
elimination,caregiver,encopresis_visible_deposition_pattern,0.5,145.0,baja,pattern_item,0.4456896551724138
elimination,caregiver,enuresis_secondary_course,0.5,147.0,baja,course_item,0.44568027210884353
elimination,psychologist,enuresis_event_frequency_per_week,0.8737542362244257,37.0,alta,symptom_item,0.8395798208149156
elimination,psychologist,enuresis_distress_impairment,0.9059620936362496,72.0,media,impairment_item,0.7843699357070136
elimination,psychologist,enuresis_duration_months_consecutive,0.8183632483996486,90.0,media,duration_item,0.7402927353109353
elimination,psychologist,encopresis_event_frequency_per_month,0.5,36.0,alta,symptom_item,0.6527777777777778
elimination,psychologist,enuresis_nocturnal,0.8288188778712188,170.0,baja,specifier_item,0.6099976742297271
elimination,psychologist,enuresis_primary_course,0.8247018953181875,178.0,baja,course_item,0.6079127454119028
elimination,psychologist,encopresis_duration_months_consecutive,0.5,89.0,media,duration_item,0.581123595505618
elimination,psychologist,enuresis_not_due_substance_medical,0.5158403414083093,131.0,baja,exclusion_flag,0.45368352948278057
elimination,psychologist,encopresis_not_due_substance_medical,0.5,130.0,baja,exclusion_flag,0.44576923076923075
elimination,psychologist,encopresis_constipation_present,0.5,168.0,baja,specifier_item,0.4455952380952381
elimination,psychologist,enuresis_diurnal,0.5,169.0,baja,specifier_item,0.44559171597633135
elimination,psychologist,encopresis_overflow_incontinence,0.5,174.0,baja,specifier_item,0.44557471264367815
elimination,psychologist,encopresis_visible_deposition_pattern,0.5,177.0,baja,pattern_item,0.4455649717514124
elimination,psychologist,enuresis_secondary_course,0.5,179.0,baja,course_item,0.44555865921787713
