domain,mode,old_balanced_accuracy,new_balanced_accuracy,old_f1,new_f1,old_pr_auc,new_pr_auc,old_secondary_metric_anomaly_flag,new_secondary_metric_anomaly_flag,margin_status
adhd,psychologist_full,0.9124407452320582,0.9672031749531473,0.88268156424581,0.9191919191919192,0.9271313857162288,0.9812542707461078,yes,yes,material_candidate
anxiety,caregiver_2_3,0.9440738991854564,0.9084523668988314,0.8926553672316384,0.8674698795180723,0.9572096459522188,0.9296147704456827,yes,no,near_ceiling_or_minor_gain
anxiety,caregiver_full,0.9498878526738284,0.9066521071892338,0.898876404494382,0.8439306358381503,0.9704386771709956,0.9164530208073066,yes,no,near_ceiling_or_minor_gain
anxiety,psychologist_2_3,0.9435426750088538,0.9142663203872035,0.8743169398907104,0.874251497005988,0.966312961726849,0.9256387045673744,yes,no,near_ceiling_or_minor_gain
anxiety,psychologist_full,0.9460807460748436,0.9718746310943218,0.8839779005524862,0.9180327868852459,0.9591820433560584,0.9718411360725614,yes,yes,material_candidate
depression,caregiver_1_3,0.8129366343914696,0.9058095354822895,0.7248322147651006,0.7575757575757576,0.764765007527117,0.807214525426529,no,no,material_candidate
depression,caregiver_2_3,0.9031437676185808,0.9248376026473832,0.8363636363636363,0.8361581920903954,0.8434143874736915,0.9185052705693368,no,no,material_candidate
depression,caregiver_full,0.9569460390355912,0.9384728520652041,0.891566265060241,0.872093023255814,0.9434742112852106,0.9263461083284807,yes,yes,near_ceiling_or_minor_gain
depression,psychologist_1_3,0.8640458389508519,0.9099460718225273,0.782608695652174,0.7978142076502732,0.7681311253035743,0.8306690857463678,no,no,material_candidate
depression,psychologist_full,0.9542671259089168,0.9470829758548842,0.9012345679012346,0.8888888888888888,0.9533076719585644,0.9303967978564984,yes,yes,near_ceiling_or_minor_gain
elimination,caregiver_1_3,0.9428218839983546,0.9367361610352265,0.8846153846153846,0.8392857142857143,0.9700376570280697,0.9254572628363791,yes,yes,near_ceiling_or_minor_gain
elimination,caregiver_2_3,0.9964953271028038,0.9976635514018692,0.97196261682243,0.9811320754716981,0.941642680399478,0.9977125378174047,yes,yes,material_candidate
elimination,caregiver_full,0.9964953271028038,0.9964953271028038,0.97196261682243,0.9719626168224299,0.9433519475427756,0.9996371552975328,yes,yes,material_candidate
elimination,psychologist_1_3,0.9451528863293568,0.9175053918044572,0.9019607843137256,0.8181818181818182,0.9724347146967124,0.9162844182696699,yes,yes,near_ceiling_or_minor_gain
elimination,psychologist_2_3,0.9964953271028038,0.9964953271028038,0.97196261682243,0.9719626168224299,0.966688236695034,0.9973033725146221,yes,yes,material_candidate
elimination,psychologist_full,0.9964953271028038,0.9964953271028038,0.97196261682243,0.9719626168224299,0.9917564458695416,0.9985056435212245,yes,yes,near_ceiling_or_minor_gain
