feature,keep_for_new_primary_line,removal_reason,layer,is_direct_input,is_transparent_derived,visible_in_modes_matrix,depends_on_external_instrument_or_score
adhd_context_count,yes,retained,dsm5,no,yes,no,no
adhd_context_home,yes,retained,dsm5,yes,no,yes,no
adhd_context_other,yes,retained,dsm5,yes,no,yes,no
adhd_context_school,yes,retained,dsm5,yes,no,yes,no
adhd_final_dsm5_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
adhd_hyperimpulsive_symptom_count,yes,retained,dsm5,no,yes,no,no
adhd_hyperimpulsive_threshold_child,yes,retained,dsm5,no,yes,no,no
adhd_hypimp_01_fidgets,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_02_leaves_seat,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_03_runs_or_climbs_inappropriately,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_04_cannot_play_quietly,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_05_driven_by_motor,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_06_talks_excessively,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_07_blurts_out,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_08_difficulty_waiting_turn,yes,retained,dsm5,yes,no,yes,no
adhd_hypimp_09_interrupts_intrudes,yes,retained,dsm5,yes,no,yes,no
adhd_impairment_home,yes,retained,dsm5,yes,no,yes,no
adhd_impairment_max,yes,retained,dsm5,no,yes,no,no
adhd_impairment_school,yes,retained,dsm5,yes,no,yes,no
adhd_impairment_social,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_01_attention_to_detail_errors,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_02_sustained_attention_difficulty,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_03_seems_not_listening,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_04_fails_to_finish_tasks,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_05_organization_difficulty,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_06_avoids_sustained_effort,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_07_loses_things,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_08_easily_distracted,yes,retained,dsm5,yes,no,yes,no
adhd_inatt_09_forgetful_daily_activities,yes,retained,dsm5,yes,no,yes,no
adhd_inattention_symptom_count,yes,retained,dsm5,no,yes,no,no
adhd_inattention_threshold_child,yes,retained,dsm5,no,yes,no,no
adhd_not_better_explained_other_mental,yes,retained,dsm5,yes,no,yes,no
adhd_not_psychosis_exclusive,yes,retained,dsm5,yes,no,yes,no
adhd_onset_before_12,yes,retained,dsm5,yes,no,yes,no
adhd_presentation_code,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
adhd_two_plus_contexts,yes,retained,dsm5,no,yes,no,no
age_years,yes,retained,clean_base,yes,no,yes,no
agor_almost_always_triggered,yes,retained,dsm5,yes,no,yes,no
agor_avoid_or_need_companion,yes,retained,dsm5,yes,no,yes,no
agor_disproportionate,yes,retained,dsm5,yes,no,yes,no
agor_duration_months,yes,retained,dsm5,yes,no,yes,no
agor_escape_help_cognition,yes,retained,dsm5,yes,no,yes,no
agor_fear_01_public_transport,yes,retained,dsm5,yes,no,yes,no
agor_fear_02_open_spaces,yes,retained,dsm5,yes,no,yes,no
agor_fear_03_enclosed_spaces,yes,retained,dsm5,yes,no,yes,no
agor_fear_04_crowds_queues,yes,retained,dsm5,yes,no,yes,no
agor_fear_05_outside_home_alone,yes,retained,dsm5,yes,no,yes,no
agor_impairment,yes,retained,dsm5,yes,no,yes,no
agor_not_better_explained,yes,retained,dsm5,yes,no,yes,no
agor_not_excessive_due_medical,yes,retained,dsm5,yes,no,yes,no
agor_situation_count,yes,retained,dsm5,no,yes,no,no
agor_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
anxiety_any_module_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
anxiety_module_count_positive,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
ari_p_symptom_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
ari_sr_symptom_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
conduct_01_bullies_threatens_intimidates,yes,retained,dsm5,yes,no,yes,no
conduct_02_initiates_fights,yes,retained,dsm5,yes,no,yes,no
conduct_03_weapon_use,yes,retained,dsm5,yes,no,yes,no
conduct_04_physical_cruelty_people,yes,retained,dsm5,yes,no,yes,no
conduct_05_physical_cruelty_animals,yes,retained,dsm5,yes,no,yes,no
conduct_06_steals_confronting_victim,yes,retained,dsm5,yes,no,yes,no
conduct_07_forced_sex,yes,retained,dsm5,yes,no,yes,no
conduct_08_fire_setting,yes,retained,dsm5,yes,no,yes,no
conduct_09_property_destruction,yes,retained,dsm5,yes,no,yes,no
conduct_10_breaks_into_house_building_car,yes,retained,dsm5,yes,no,yes,no
