mode,domain,hybrid_minus_clean_precision,hybrid_minus_clean_recall,hybrid_minus_clean_balanced_accuracy,hybrid_minus_clean_pr_auc,hybrid_minus_clean_brier,dsm5_only_balanced_accuracy,dsm5_material_gain
caregiver_full,adhd,0.10858333333333337,0.34042553191489366,0.17409877632014115,0.15312359560740696,-0.040588761528238725,0.955958549222798,yes
psychologist_2_3,adhd,0.16245860927152322,0.08510638297872342,0.08270863190386946,0.09236872811697916,-0.03348179797326752,0.9546632124352332,yes
psychologist_full,adhd,0.45121603918664915,0.02127659574468077,0.12203726160291017,0.3373886857985692,-0.07928839288527692,0.9935233160621761,yes
caregiver_2_3,anxiety,0.021428571428571352,0.2790697674418605,0.13953488372093026,0.11094138696977895,-0.03587006333709326,0.849575020658718,yes
caregiver_full,anxiety,0.14111111111111108,0.05813953488372092,0.04810530043678429,0.054574494081292335,-0.01513192104027294,0.9615157596505726,yes
psychologist_2_3,anxiety,0.05907511360598772,0.06976744186046513,0.041228898595207175,0.053029907305057966,-0.014180583929347488,0.9582398772281904,yes
psychologist_full,anxiety,-0.025210084033613467,0.13953488372093015,0.06596033526148026,0.057555692630150146,-0.014943572552014752,0.9653228662495573,yes
caregiver_full,conduct,0.10126582278481011,0.11250000000000004,0.08125000000000004,0.06879595909924296,-0.05835020514254718,1.0,yes
psychologist_2_3,conduct,0.11445783132530118,0.08125000000000004,0.0703125,0.0812581732964115,-0.05800393005472095,1.0,yes
psychologist_full,conduct,0.11111111111111116,0.09999999999999998,0.078125,0.06147083206116699,-0.05736733476062518,1.0,yes
caregiver_2_3,depression,0.19859813084112155,0.1585365853658537,0.10941904645177103,0.3071559494057601,-0.04760946765833786,0.9162274788577032,yes
caregiver_full,depression,0.20257791458253172,0.07317073170731714,0.07050496384360827,0.1463505188591716,-0.031201102655286576,0.9223250398333129,yes
psychologist_2_3,depression,0.14189189189189189,0.07317073170731714,0.051660742738080745,0.11574281860891167,-0.023973652066946176,0.887547493565388,yes
psychologist_full,depression,0.2164904862579281,0.04878048780487809,0.05956612329942401,0.178156877113964,-0.034717978757516414,0.9176676063243044,yes
caregiver_full,elimination,0.8296169239565466,0.42307692307692313,0.40663191948238686,0.8343604401103565,-0.09473381298531101,1.0,yes
psychologist_2_3,elimination,0.8238993710691824,0.5192307692307692,0.41498921639108555,0.8502468616210505,-0.09566889219451874,0.9976635514018692,yes
psychologist_full,elimination,0.8082925692988586,0.46153846153846156,0.3861430625449318,0.8343784780820344,-0.0938558741433598,0.9988317757009346,yes
