trial_id,feature_rank,feature_name,importance_gini
domain_adhd_strict_full,1,num__q_qi_0029,0.2175269182816526
domain_adhd_strict_full,2,num__q_qi_0028,0.20800957759697866
domain_adhd_strict_full,3,num__q_qi_0030,0.18916969662970798
domain_adhd_strict_full,4,num__comorbidity_count_5targets,0.06837846320806576
domain_adhd_strict_full,5,num__q_qi_0022,0.06710953566936693
domain_adhd_strict_full,6,num__has_any_target_disorder,0.04585047203671306
domain_adhd_strict_full,7,num__domain_comorbidity_count,0.037305801990463516
domain_adhd_strict_full,8,num__q_qi_0182,0.03500520770787672
domain_adhd_strict_full,9,num__q_qi_0180,0.028393679275818057
domain_adhd_strict_full,10,num__q_qi_0088,0.015723632182213027
domain_adhd_strict_full,11,num__q_qi_0087,0.014531880979881813
domain_adhd_strict_full,12,num__icut_23,0.009977581569802092
domain_adhd_strict_full,13,num__q_qi_0082,0.007299613662259211
domain_adhd_strict_full,14,num__cbcl_001,0.007011056977792134
domain_adhd_strict_full,15,num__cbcl_107,0.005967345376987185
domain_adhd_strict_full,16,num__q_qi_0083,0.005827764851564614
domain_adhd_strict_full,17,num__cbcl_attention_problems_proxy,0.005493805538605422
domain_adhd_strict_full,18,num__cbcl_081,0.0049633377706923614
domain_adhd_strict_full,19,num__q_qi_0054,0.003640124926944303
domain_adhd_strict_full,20,num__swan_17,0.0032688081194245655
domain_adhd_strict_full,21,num__sdq_emotional_symptoms,0.0015708212023366993
domain_adhd_strict_full,22,num__swan_12,0.0015403352219926685
domain_adhd_strict_full,23,num__cbcl_036,0.0014626227528459883
domain_adhd_strict_full,24,num__q_qi_0049,0.0013202873331365718
domain_adhd_strict_full,25,num__cbcl_035,0.000981178346335939
domain_adhd_strict_full,26,num__swan_hyperactive_impulsive_total,0.0007791007593435528
domain_adhd_strict_full,27,num__q_qi_0052,0.000718831525737911
domain_adhd_strict_full,28,num__swan_15,0.0006864030358549975
domain_adhd_strict_full,29,num__q_qi_0041,0.0004513128093923709
domain_adhd_strict_full,30,num__swan_04,0.00035466827106857155
domain_adhd_research_full,1,num__diag_domain_adhd_source_count,0.5166666666666183
domain_adhd_research_full,2,num__diag_domain_adhd_broad,0.48333333333328826
domain_adhd_research_full,3,num__scared_p_07,2.079817799464337e-15
domain_adhd_research_full,4,num__ysr_110,1.0399088997321685e-15
domain_adhd_research_full,5,num__diag_domain_anxiety_broad,1.0399088997321685e-15
domain_adhd_research_full,6,num__scared_sr_07,1.0399088997321685e-15
domain_adhd_research_full,7,num__scared_sr_37,1.0399088997321685e-15
domain_adhd_research_full,8,num__mfq_p_06,1.0399088997321685e-15
domain_adhd_research_full,9,num__scared_p_15,1.0399088997321685e-15
domain_adhd_research_full,10,num__cbcl_066,1.0399088997321685e-15
domain_adhd_research_full,11,num__sdq_04,1.0399088997321685e-15
domain_adhd_research_full,12,num__mfq_sr_33,1.0399088997321685e-15
domain_adhd_research_full,13,num__sdq_06,1.0399088997321685e-15
domain_adhd_research_full,14,num__mfq_sr_08,1.0399088997321685e-15
domain_adhd_research_full,15,num__q_qi_0114,1.0399088997321685e-15
domain_adhd_research_full,16,num__cdi_21,1.0399088997321685e-15
domain_adhd_research_full,17,num__swan_05,1.0399088997321685e-15
domain_adhd_research_full,18,num__cbcl_048,1.0399088997321685e-15
domain_adhd_research_full,19,num__cbcl_003,1.0399088997321685e-15
domain_adhd_research_full,20,num__ari_p_02,1.0399088997321685e-15
domain_adhd_research_full,21,num__ysr_092,1.0399088997321685e-15
domain_adhd_research_full,22,num__cbcl_047,1.0399088997321685e-15
domain_adhd_research_full,23,num__cbcl_108,1.0399088997321685e-15
domain_adhd_research_full,24,num__ysr_068,1.0399088997321685e-15
domain_adhd_research_full,25,num__mfq_sr_29,1.0399088997321685e-15
domain_adhd_research_full,26,num__mfq_p_05,1.0399088997321685e-15
domain_adhd_research_full,27,num__age_years,1.0399088997321685e-15
domain_adhd_research_full,28,num__scared_sr_20,1.0399088997321685e-15
domain_adhd_research_full,29,num__scared_sr_34,1.0399088997321685e-15
domain_adhd_research_full,30,num__cbcl_026,5.199544498660842e-16
domain_conduct_strict_full,1,num__q_qi_0057,0.4518434049648703
domain_conduct_strict_full,2,num__q_qi_0056,0.4053376153633124
domain_conduct_strict_full,3,num__cbcl_externalizing_proxy,0.04773009887588078
domain_conduct_strict_full,4,num__domain_comorbidity_count,0.025250929226675583
domain_conduct_strict_full,5,num__cbcl_112,0.009865800726763047
domain_conduct_strict_full,6,num__internal_exact_comorbidity_count,0.007934995780787307
domain_conduct_strict_full,7,num__cbcl_106,0.004673134645785653
domain_conduct_strict_full,8,num__cbcl_011,0.004601726957825763
domain_conduct_strict_full,9,num__scared_p_total,0.003705441500731795
domain_conduct_strict_full,10,num__swan_13,0.0024376551757385573
domain_conduct_strict_full,11,num__q_qi_0050,0.002331102166598572
domain_conduct_strict_full,12,num__icut_02,0.0019773420657503197
domain_conduct_strict_full,13,num__q_qi_0080,0.00182026169154903
domain_conduct_strict_full,14,num__scared_p_36,0.001629223680083285
domain_conduct_strict_full,15,num__q_qi_0064,0.001617666019134238
domain_conduct_strict_full,16,num__q_qi_0040,0.001609209262267875
domain_conduct_strict_full,17,num__icut_unemotional,0.001540039905037392
domain_conduct_strict_full,18,num__swan_03,0.0014564288939166684
domain_conduct_strict_full,19,num__q_qi_0061,0.0007653710563857627
domain_conduct_strict_full,20,num__icut_total,0.0007328793124778908
domain_conduct_strict_full,21,num__cbcl_109,0.0007004307626266129
domain_conduct_strict_full,22,num__q_qi_0102,0.000639961509416753
domain_conduct_strict_full,23,num__cbcl_108,0.000582477328762276
domain_conduct_strict_full,24,num__ari_sr_impairment_item,0.0005717705559328646
domain_conduct_strict_full,25,num__cbcl_038,0.0005647412969714542
domain_conduct_strict_full,26,num__scared_p_separation_anxiety,0.0005568353185392184
domain_conduct_strict_full,27,num__ari_sr_02,0.000543951745231602
domain_conduct_strict_full,28,num__q_qi_0097,0.000542251837311741
domain_conduct_strict_full,29,num__ari_sr_01,0.0005312243726520454
domain_conduct_strict_full,30,num__ari_sr_07,0.000529278035813996
domain_conduct_strict_compact,1,cat__q_qi_0062_high,0.103876069513729
domain_conduct_strict_compact,2,num__q_qi_0056,0.06672870485989259
domain_conduct_strict_compact,3,num__q_qi_0078,0.06322829424435124
domain_conduct_strict_compact,4,num__q_qi_0061,0.05739945169086935
domain_conduct_strict_compact,5,num__q_qi_0173,0.05638453361365711
domain_conduct_strict_compact,6,num__q_qi_0174,0.054202314215500674
domain_conduct_strict_compact,7,num__q_qi_0175,0.05287284498460466
domain_conduct_strict_compact,8,num__q_qi_0079,0.05225512406740947
domain_conduct_strict_compact,9,num__q_qi_0057,0.048456183681524906
domain_conduct_strict_compact,10,num__q_qi_0074,0.0321267758795838
domain_conduct_strict_compact,11,num__q_qi_0176,0.030592593480657012
domain_conduct_strict_compact,12,num__q_qi_0081,0.028259579652661224
domain_conduct_strict_compact,13,cat__q_qi_0183_high,0.02717248426907275
domain_conduct_strict_compact,14,num__q_qi_0077,0.021728731830103546
domain_conduct_strict_compact,15,num__q_qi_0068,0.020624336329309042
domain_conduct_strict_compact,16,num__q_qi_0072,0.02008079019312967
domain_conduct_strict_compact,17,num__q_qi_0080,0.016508607811415867
domain_conduct_strict_compact,18,num__q_qi_0172,0.016052623087003497
domain_conduct_strict_compact,19,num__q_qi_0066,0.014630513746819361
domain_conduct_strict_compact,20,num__q_qi_0030,0.012958857105369878
domain_conduct_strict_compact,21,num__q_qi_0045,0.012342065987478952
domain_conduct_strict_compact,22,num__q_qi_0028,0.009034920236397442
domain_conduct_strict_compact,23,num__q_qi_0076,0.008926664998457047
domain_conduct_strict_compact,24,num__q_qi_0128,0.008562805454658413
domain_conduct_strict_compact,25,num__q_qi_0065,0.007927047279284291
domain_conduct_strict_compact,26,num__q_qi_0029,0.007779487571370519
