domain,model_id,seed,threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall
adhd,domain_adhd_research_full,7,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0
adhd,domain_adhd_research_full,21,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0
adhd,domain_adhd_research_full,42,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0
adhd,domain_adhd_research_full,84,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0
adhd,domain_adhd_research_full,2026,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0
anxiety,domain_anxiety_strict_full,7,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849
anxiety,domain_anxiety_strict_full,21,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849
anxiety,domain_anxiety_strict_full,42,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849
anxiety,domain_anxiety_strict_full,84,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849
anxiety,domain_anxiety_strict_full,2026,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849
conduct,domain_conduct_research_full,7,0.7999999999999999,1.0,0.9875,0.975,0.9743589743589743,0.9701456310679611,0.95
conduct,domain_conduct_research_full,21,0.75,1.0,0.99375,0.9875,0.9746835443037974,0.9763956310679611,0.9625
conduct,domain_conduct_research_full,42,0.85,1.0,0.98125,0.9625,0.9743589743589743,0.9701456310679611,0.95
conduct,domain_conduct_research_full,84,0.7999999999999999,1.0,0.9875,0.975,0.974025974025974,0.9638956310679612,0.9375
conduct,domain_conduct_research_full,2026,0.75,1.0,0.99375,0.9875,0.975,0.9826456310679612,0.975
depression,domain_depression_strict_full,7,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9741379310344828,0.9825324180015256,0.9826086956521739
depression,domain_depression_strict_full,21,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609
depression,domain_depression_strict_full,42,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609
depression,domain_depression_strict_full,84,0.7,0.9827586206896551,0.9941860465116279,1.0,0.9741379310344828,0.9825324180015256,0.9826086956521739
depression,domain_depression_strict_full,2026,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609
elimination,domain_elimination_strict_full,7,0.05,1.0,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,21,0.05,1.0,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,42,0.05,1.0,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,84,0.05,1.0,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,2026,0.05,1.0,1.0,1.0,1.0,1.0,1.0
