endpoint,method,blueprint,route_module,schema_validacion,servicio_asociado,request_format,response_format,auth_autorizacion,errores_verificables,response_contract,openapi_operation_id,openapi_path_matched
/api/admin/audit-logs,GET,admin,api.routes.admin,AuditLogQuerySchema,api.services.admin_service:list_audit_logs,query,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,validation_error,2xx=200; 4xx/5xx=400/401/403/429/500,listAuditLogs,/api/admin/audit-logs
/api/admin/email/health,GET,admin,api.routes.admin,none,api.services.admin_service:get_email_health,none_or_path,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,"401, 403, 429, 500",2xx=200; 4xx/5xx=401/403/429/500,getEmailHealth,/api/admin/email/health
/api/admin/email/unsubscribes,GET,admin,api.routes.admin,EmailUnsubscribeListQuerySchema,api.services.admin_service:list_unsubscribes,query,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,validation_error,2xx=200; 4xx/5xx=400/401/403/429/500,listEmailUnsubscribes,/api/admin/email/unsubscribes
/api/admin/email/unsubscribes/{unsubscribe_id}/remove,POST,admin,api.routes.admin,none,api.services.admin_service:remove_unsubscribe,none_or_path,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,"db_error, invalid_admin, invalid_unsubscribe_id, unsubscribe_not_found",2xx=200; 4xx/5xx=400/401/403/404/429/500,removeEmailUnsubscribe,/api/admin/email/unsubscribes/{id}/remove
/api/admin/evaluations,GET,admin,api.routes.admin,EvaluationListQuerySchema,api.services.admin_service:list_evaluations,query,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,validation_error,2xx=200; 4xx/5xx=400/401/403/429/500,listAdminEvaluations,/api/admin/evaluations
/api/admin/evaluations/{evaluation_id}/status,PATCH,admin,api.routes.admin,EvaluationStatusSchema,api.services.admin_service:update_evaluation_status,application/json,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,"db_error, evaluation_not_found, invalid_admin, invalid_evaluation_id, invalid_status, validation_error",2xx=200; 4xx/5xx=400/401/403/404/429/500,updateAdminEvaluationStatus,/api/admin/evaluations/{id}/status
/api/admin/impersonate/{user_id},POST,admin,api.routes.admin,none,api.services.admin_service:impersonate_user,none_or_path,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,"db_error, invalid_admin, invalid_user_id, user_not_found",2xx=200; 4xx/5xx=400/401/403/404/500,impersonateAdminUser,/api/admin/impersonate/{user_id}
/api/admin/metrics,GET,admin,api.routes.admin,none,api.services.admin_service:get_metrics_snapshot,none_or_path,application/json,JWT+RBAC + ROLES:ADMIN + rate_limit,metrics_error,2xx=200; 4xx/5xx=401/403/429/500,getAdminMetrics,/api/admin/metrics
/api/admin/problem-reports,GET,problem_reports,api.routes.problem_reports,ProblemReportListQuerySchema,"api.services.problem_report_service:list_problem_reports, api.services.problem_report_service:serialize_problem_report",query,application/json,JWT+RBAC + ROLES:ADMIN,validation_error,2xx=200; 4xx/5xx=400/401/403/500,adminListProblemReports,/api/admin/problem-reports
/api/admin/problem-reports/{report_id},GET,problem_reports,api.routes.problem_reports,none,"api.services.problem_report_service:get_problem_report_or_404, api.services.problem_report_service:serialize_problem_report",none_or_path,application/json,JWT+RBAC + ROLES:ADMIN,invalid_report_id,2xx=200; 4xx/5xx=400/401/403/404/500,adminGetProblemReport,/api/admin/problem-reports/{id}
