feature_set_name,n_features,contains_generated_families,hypothesis_tested,complexity,leakage_risk,promotable,notes
elimination_fs_v5_replay_v2_best,240,,control_replay,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_composite_clinical,220,composite_clinical,H1,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_anti_transdiagnostic,220,anti_transdiagnostic,H2,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_evidence_quality,220,evidence_quality,H3,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_subtype_auxiliary,220,subtype_auxiliary,H4,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_hard_negative_filtering,220,hard_negative,H5,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_compact_best_combined,210,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative",H1+H2+H3+H5,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_two_stage_ready,190,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative,subtype_auxiliary",H6,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_abstention_ready,210,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative",H6,moderate,low,yes,strict_no_leakage_main
elimination_fs_v5_research_context_only,224,"anti_transdiagnostic,composite_clinical",context_only,moderate,low,no,research_secondary_non_promotable
