mode,ablation_config,family,n_features,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,delta_ba_vs_winner
caregiver,drop_source_specific_block,rf,17,0.8741721854304636,0.8198757763975155,0.848,0.8339378881987578,0.8461538461538461,0.912678904635436,0.13718053258056076,0.06293706293706294,0.23590381426202323,0.8513986013986015,0.0040000000000000036
caregiver,drop_top1_corr_feature,rf,20,0.8675496688741722,0.8136645962732919,0.84,0.8268322981366459,0.8397435897435898,0.9108432369347788,0.13739686175522192,0.10839160839160839,0.1657179000632511,0.8811188811188811,-0.0031055900621118626
caregiver,drop_top3_corr_features,rf,18,0.85,0.84472049689441,0.808,0.826360248447205,0.8473520249221184,0.9091889749360048,0.13721212970799268,0.17482517482517482,0.13169491525423732,0.887062937062937,-0.003577639751552786
caregiver,winner_selected,rf,21,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9152986120374738,0.13595883397085926,0.1958041958041958,0.16009316770186333,0.8395104895104895,-0.0040000000000000036
caregiver,drop_self_report_block,rf,21,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9152986120374738,0.13595883397085926,0.1958041958041958,0.16009316770186333,0.8395104895104895,-0.0040000000000000036
caregiver,drop_engineered_clean_block,rf,16,0.8758620689655172,0.7888198757763976,0.856,0.8224099378881988,0.8300653594771242,0.9082182094189769,0.13820578301860498,0.1048951048951049,0.35546875,0.8692307692307693,-0.007527950310558973
caregiver,drop_cbcl_block,rf,17,0.8385093167701864,0.8385093167701864,0.792,0.8152546583850933,0.8385093167701864,0.9045668127879634,0.14255448252215425,0.17832167832167833,0.11280767626199417,0.8097902097902098,-0.014683229813664544
caregiver,drop_sdq_block,rf,17,0.8451612903225807,0.8136645962732919,0.808,0.810832298136646,0.8291139240506329,0.9097954865303801,0.1389997747262827,0.2202797202797203,0.18535127055306425,0.8513986013986015,-0.019105590062111766
caregiver,minimal_reasonable_subset,rf,12,0.9145299145299145,0.6645962732919255,0.92,0.7922981366459627,0.7697841726618705,0.907227656003121,0.14790026637046036,0.013986013986013986,0.2801418439716312,0.8513986013986015,-0.03763975155279509
psychologist,drop_top3_corr_features,rf,21,0.864516129032258,0.8322981366459627,0.832,0.8321490683229813,0.8481012658227848,0.9155818715177019,0.1384132234712629,0.11888111888111888,0.04318394024276376,0.8276223776223777,0.0004720496894409232
psychologist,winner_selected,rf,24,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.1258741258741259,0.034444444444444444,0.8513986013986015,0.0
psychologist,drop_self_report_block,rf,22,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9068623962492954,0.13732010765513813,0.1888111888111888,0.14974457215836526,0.8395104895104895,-0.00573913043478258
psychologist,drop_engineered_clean_block,rf,18,0.8767123287671232,0.7950310559006211,0.856,0.8255155279503106,0.8338762214983714,0.911495614438444,0.13338067697328285,0.10139860139860139,0.33878974909432447,0.8573426573426574,-0.006161490683229798
psychologist,drop_source_specific_block,rf,20,0.8580645161290322,0.8260869565217391,0.824,0.8250434782608695,0.8417721518987342,0.9104705780754024,0.1374038868317616,0.1853146853146853,0.1559640456717143,0.8216783216783217,-0.006633540372670832
psychologist,drop_top1_corr_feature,rf,23,0.8580645161290322,0.8260869565217391,0.824,0.8250434782608695,0.8417721518987342,0.904488855648097,0.13721422777110934,0.19230769230769232,0.16623376623376623,0.8395104895104895,-0.006633540372670832
psychologist,drop_sdq_block,rf,20,0.8648648648648649,0.7950310559006211,0.84,0.8175155279503106,0.8284789644012945,0.91081489894059,0.13963623668754707,0.06293706293706294,0.2765339966832504,0.786013986013986,-0.014161490683229805
psychologist,drop_cbcl_block,rf,20,0.8461538461538461,0.8198757763975155,0.808,0.8139378881987578,0.832807570977918,0.903915166593225,0.1404823977905735,0.13286713286713286,0.2111629881154499,0.8097902097902098,-0.01773913043478259
psychologist,minimal_reasonable_subset,rf,12,0.9145299145299145,0.6645962732919255,0.92,0.7922981366459627,0.7697841726618705,0.907227656003121,0.14790026637046036,0.013986013986013986,0.2801418439716312,0.8513986013986015,-0.03937888198757766
