mode,domain,seed_std,split_std,missingness_delta,coverage_drop_delta,source_mix_delta,borderline_delta_ba,fragile_slice_status,stability_status,stability_note
caregiver,adhd,0.0019992958136871,0.003223602484472,0.0096024844720497,0.003891304347826,0.003223602484472,,por_confirmar,stable,v4 full_results + v10 slice gap
caregiver,anxiety,0.0037258173433534,0.0035984848484849,0.0193181818181818,0.0364583333333333,-0.0035984848484849,,por_confirmar,stable,v4 full_results + v10 slice gap
caregiver,conduct,0.0036407766990291,0.0036407766990291,-0.0026395631067961,0.0171495752427184,-0.0036407766990291,-0.0465547464940669,no,stable,v4 full_results + v10 slice gap
caregiver,depression,0.0014619883040936,0.0014619883040936,0.0185545385202136,0.0109839816933638,0.0014619883040936,-0.0692658635925332,partial,stable,v4 full_results + v10 slice gap
caregiver,elimination,,,-0.0648447204968944,-0.0101614906832299,-0.0177888198757764,-0.2406521739130435,structural_fragility_detected,fragile_but_bounded,baseline_ba=0.829938; stress-scenario matrix
psychologist,adhd,0.00169650514346,0.0015527950310558,0.0071428571428571,0.0053726708074534,0.0015527950310558,,por_confirmar,stable,v4 full_results + v10 slice gap
psychologist,anxiety,0.0,0.0,-0.0007575757575757,0.2446969696969697,0.0,,por_confirmar,watch,v4 full_results + v10 slice gap
psychologist,conduct,0.002568869764654,0.0005157766990291,-0.0016080097087378,0.0142976334951456,-0.0005157766990291,-0.0208400755124056,no,stable,v4 full_results + v10 slice gap
psychologist,depression,0.0049409817655862,0.0014429188914315,0.015744978387999,0.015913424866514,-0.0014429188914315,,por_confirmar,stable,v4 full_results + v10 slice gap
psychologist,elimination,,,-0.0311055900621118,-0.0057391304347825,-0.004,-0.2233026343970872,structural_fragility_detected,fragile_but_bounded,baseline_ba=0.831677; stress-scenario matrix
