file_path,purpose,line_count,heading_count,ambiguity_flags,placeholder_markers,final_state_consistency,classification,recommended_action,notes
.github/ISSUE_TEMPLATE/bug_report.md,plantillas de colaboracion,29,6,none,none,aligned_or_historical,ok,mantener,none
.github/ISSUE_TEMPLATE/feature_request.md,plantillas de colaboracion,19,4,none,none,aligned_or_historical,ok,mantener,none
.github/pull_request_template.md,plantillas de colaboracion,56,9,none,none,aligned_or_historical,ok,mantener,none
AGENTS_CONTEXT.md,documentacion general,43,7,none,none,aligned_or_historical,ok,mantener,none
CONTRIBUTING.md,documentacion general,32,5,none,none,aligned_or_historical,ok,mantener,none
README.md,documentacion principal del repositorio,610,59,none,none,aligned_or_historical,high_priority_fix,corregido_en_esta_fase,README recuperado y fusionado con estado final
README_hybrid_dsm5_v2.md,documentacion general,14,3,none,none,historical_superseded,outdated,mantener_como_historial_versionado,no usar como fuente vigente
REPO_CONTENT_POLICY.md,documentacion general,50,9,none,none,aligned_or_historical,ok,mantener,none
artifacts/inference_v2/explanation_contract.md,contratos y especificaciones de inferencia/cuestionarios,5,1,none,none,historical_superseded,outdated,mantener_como_historial_versionado,no usar como fuente vigente
artifacts/inference_v3/explanation_contract.md,contratos y especificaciones de inferencia/cuestionarios,1,0,muy_corto,none,historical_superseded,outdated,mantener_como_historial_versionado,no usar como fuente vigente
artifacts/inference_v4/promotion_scope.md,contratos y especificaciones de inferencia/cuestionarios,16,4,none,none,aligned_or_historical,minor_revision_needed,ajuste_conservador_aplicado,claridad/coherencia ajustada en esta fase
artifacts/inference_v5/elimination_scope_rationale.md,contratos y especificaciones de inferencia/cuestionarios,13,3,none,none,historical_superseded,outdated,mantener_como_historial_versionado,no usar como fuente vigente
artifacts/questionnaire_dsm5_v1/questionnaire_api_contract.md,contratos y especificaciones de inferencia/cuestionarios,11,1,none,none,aligned_or_historical,ok,mantener,none
artifacts/specs/random_forest_evaluation_spec.md,contratos y especificaciones de inferencia/cuestionarios,37,1,none,none,aligned_or_historical,ok,mantener,none
artifacts/specs/threshold_selection_protocol.md,contratos y especificaciones de inferencia/cuestionarios,15,1,none,none,aligned_or_historical,ok,mantener,none
artifacts/specs/training_strategy_recommendations.md,contratos y especificaciones de inferencia/cuestionarios,22,4,none,none,aligned_or_historical,ok,mantener,none
data/README.md,evidencia y reportes versionados del pipeline ML,16,2,none,none,aligned_or_historical,minor_revision_needed,ajuste_conservador_aplicado,claridad/coherencia ajustada en esta fase
data/elimination_feature_engineering_v5/reports/elimination_executive_summary_v5.md,evidencia y reportes versionados del pipeline ML,11,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_feature_engineering_audit.md,evidencia y reportes versionados del pipeline ML,6,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_final_decision_v5.md,evidencia y reportes versionados del pipeline ML,11,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_generated_features_report.md,evidencia y reportes versionados del pipeline ML,7,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_product_positioning_v5.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_stop_rule_assessment_v5.md,evidencia y reportes versionados del pipeline ML,6,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_thesis_positioning_v5.md,evidencia y reportes versionados del pipeline ML,6,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_v2_v3_v4_v5_comparison.md,evidencia y reportes versionados del pipeline ML,9,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_v5_abstention_analysis.md,evidencia y reportes versionados del pipeline ML,8,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_v5_feature_set_design.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/elimination_v5_two_stage_analysis.md,evidencia y reportes versionados del pipeline ML,8,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_feature_engineering_v5/reports/input_summary.md,evidencia y reportes versionados del pipeline ML,9,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_causal_hypotheses.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_correction_plan.md,evidencia y reportes versionados del pipeline ML,4,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_executive_summary.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_final_decision_v2.md,evidencia y reportes versionados del pipeline ML,13,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_initial_audit_report.md,evidencia y reportes versionados del pipeline ML,9,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_model_selection_rationale.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_product_positioning.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/elimination_thesis_positioning.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_iterative_recovery_v2/reports/input_summary.md,evidencia y reportes versionados del pipeline ML,7,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_abstention_operating_mode.md,evidencia y reportes versionados del pipeline ML,8,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_executive_summary_v3.md,evidencia y reportes versionados del pipeline ML,6,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_final_decision_v3.md,evidencia y reportes versionados del pipeline ML,10,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_incremental_hypotheses.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_product_positioning_v3.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_residual_error_report.md,evidencia y reportes versionados del pipeline ML,9,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_stop_rule_assessment.md,evidencia y reportes versionados del pipeline ML,8,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/elimination_thesis_positioning_v3.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_refinement_v3/reports/input_summary.md,evidencia y reportes versionados del pipeline ML,8,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_executive_summary_v4.md,evidencia y reportes versionados del pipeline ML,6,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_false_positive_reduction_analysis.md,evidencia y reportes versionados del pipeline ML,4,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_feature_space_redesign.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_final_decision_v4.md,evidencia y reportes versionados del pipeline ML,9,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_product_positioning_v4.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_stop_rule_assessment_v4.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_target_audit_report.md,evidencia y reportes versionados del pipeline ML,12,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_target_variant_design.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_thesis_positioning_v4.md,evidencia y reportes versionados del pipeline ML,3,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_v2_v3_v4_comparison.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/elimination_target_redesign_v4/reports/elimination_v4_abstention_analysis.md,evidencia y reportes versionados del pipeline ML,8,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/final_closure_audit_v1/reports/final_closure_judgement.md,auditoria final metodologica de cierre,6,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/final_executive_summary.md,auditoria final metodologica de cierre,8,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/final_inventory_summary.md,auditoria final metodologica de cierre,6,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/final_methodological_integrity_report.md,auditoria final metodologica de cierre,5,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/final_methodological_positioning.md,auditoria final metodologica de cierre,5,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/final_metrics_audit_notes.md,auditoria final metodologica de cierre,5,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/inference_scope_final_audit.md,auditoria final metodologica de cierre,6,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/per_domain_status_validation.md,auditoria final metodologica de cierre,9,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/product_scope_validation.md,auditoria final metodologica de cierre,9,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/reproducibility_and_consistency_report.md,auditoria final metodologica de cierre,6,1,none,none,aligned_or_historical,ok,mantener,none
data/final_closure_audit_v1/reports/thesis_scope_validation.md,auditoria final metodologica de cierre,9,1,none,none,aligned_or_historical,ok,mantener,none
data/finalization_and_recovery_v1/adhd_recovery/adhd_final_decision.md,evidencia y reportes versionados del pipeline ML,4,1,muy_corto,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
data/finalization_and_recovery_v1/adhd_recovery/adhd_recovery_report.md,evidencia y reportes versionados del pipeline ML,5,1,none,none,aligned_or_historical,ok,mantener,snapshot historico versionado; usar junto a reportes de cierre final
