mode,architecture,threshold,coverage_rate,uncertain_rate,precision_decided,recall_decided,specificity_decided,balanced_accuracy_decided,f1_decided,pr_auc_decided,brier_decided,two_stage_objective
caregiver,single_stage_reference,0.31000000000000005,1.0,0.0,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.8733159773529457
caregiver,coverage_then_risk,0.31000000000000005,1.0,0.0,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.8733159773529457
caregiver,coverage_plus_uncertainty,0.31000000000000005,0.8251748251748252,0.1748251748251748,0.8607594936708861,0.918918918918919,0.75,0.8344594594594594,0.8888888888888888,0.9307501283571624,0.11957458158904963,0.8632685809441504
caregiver,coarse_to_fine_uncertainty,0.31000000000000005,0.8251748251748252,0.1748251748251748,0.8607594936708861,0.918918918918919,0.75,0.8344594594594594,0.8888888888888888,0.9307501283571624,0.11957458158904963,0.8632685809441504
caregiver,two_stage_with_subtype_blend,0.31000000000000005,0.8251748251748252,0.1748251748251748,0.8607594936708861,0.918918918918919,0.75,0.8344594594594594,0.8888888888888888,0.927465848960419,0.12443285184652618,0.8625884231081037
psychologist,single_stage_reference,0.37500000000000006,1.0,0.0,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.8748350695222764
psychologist,coverage_then_risk,0.37500000000000006,1.0,0.0,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.8748350695222764
psychologist,coarse_to_fine_uncertainty,0.37500000000000006,0.8741258741258742,0.12587412587412583,0.85625,0.8896103896103896,0.7604166666666666,0.8250135281385281,0.8726114649681529,0.9273665690371986,0.12713645317028582,0.8599379823869959
psychologist,coverage_plus_uncertainty,0.37500000000000006,0.7132867132867133,0.28671328671328666,0.8732394366197183,0.9465648854961832,0.7534246575342466,0.849994771515215,0.9084249084249084,0.9445787268408063,0.10184702573220622,0.8599276304717935
psychologist,two_stage_with_subtype_blend,0.37500000000000006,0.6923076923076923,0.3076923076923077,0.8714285714285714,0.9457364341085271,0.7391304347826086,0.842433434445568,0.9070631970260223,0.9418264660167343,0.10677617902664752,0.8528747514927497
