path,size_mb_approx,risk_reason,regenerable_yes_no,should_stay_out_of_repo_yes_no,recommendation
data\processed_hybrid_dsm5_v2\final\internal_exact\dataset_participant_normative_evidence_long.csv,88.383,duplicate_binary_or_dataset;very_large_long_table,yes,yes,move_to_external_storage
data\processed_hybrid_dsm5_v2\intermediate\hybrid_participant_normative_evidence_long.csv,88.383,duplicate_binary_or_dataset;very_large_long_table,yes,yes,move_to_external_storage
data\processed_hybrid_dsm5_v2\intermediate\participant_normative_evidence_long.csv,88.383,duplicate_binary_or_dataset;very_large_long_table,yes,yes,move_to_external_storage
data\processed_dsm5_exact_v1\final\dataset_participant_normative_evidence_long.csv,70.67,duplicate_binary_or_dataset;very_large_long_table,yes,yes,move_to_external_storage
data\processed_dsm5_exact_v1\intermediate\participant_normative_evidence_long.csv,70.67,duplicate_binary_or_dataset;very_large_long_table,yes,yes,move_to_external_storage
venv\Lib\site-packages\numpy.libs\libopenblas64__v0.3.23-293-gc2f4bdbb-gcc_10_3_0-2bde3a66a51006b2b53eb373ff767a3f.dll,36.4,local_environment_file,unknown,yes,ignore_from_repo
venv\Lib\site-packages\scipy.libs\libopenblas_v0.3.27--3aa239bc726cfb0bd8e5330d8d4c15c6.dll,36.363,local_environment_file,unknown,yes,ignore_from_repo
data\processed_hybrid_dsm5_v2\questionnaire\questionnaire_simulated_responses_used.csv,23.803,large_file,unknown,review,review
data\questionnaire_dsm5_v1\questionnaire_simulated_responses.csv,21.968,large_file,unknown,review,review
artifacts\models\calibrated\dataset_elimination_items__strict_no_leakage\calibrated.joblib,16.367,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_elimination_items__strict_no_leakage\calibrated.joblib,16.367,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_elimination_items__research_extended\calibrated.joblib,15.726,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_elimination_items__research_extended\calibrated.joblib,15.726,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_anxiety_items__strict_no_leakage\calibrated.joblib,15.29,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_anxiety_v1_baseline\calibrated.joblib,15.29,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_anxiety_items__strict_no_leakage\calibrated.joblib,15.29,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\champions\rf_anxiety_current\calibrated.joblib,15.29,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_anxiety_v1_baseline\calibrated.joblib,15.29,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_anxiety_items__research_extended\calibrated.joblib,14.859,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_anxiety_items__research_extended\calibrated.joblib,14.859,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\hybrid_dsm5_v2\models\multilabel_domain_strict\model.joblib,13.257,serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_adhd_items__strict_no_leakage\calibrated.joblib,12.682,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_adhd_items__strict_no_leakage\calibrated.joblib,12.682,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_adhd_items__research_extended\calibrated.joblib,12.34,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_adhd_items__research_extended\calibrated.joblib,12.34,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_elimination_core__strict_no_leakage\calibrated.joblib,10.812,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_elimination_v1_baseline\calibrated.joblib,10.812,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_elimination_core__strict_no_leakage\calibrated.joblib,10.812,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\champions\rf_elimination_current\calibrated.joblib,10.812,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v1_baseline\calibrated.joblib,10.812,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_conduct_items__strict_no_leakage\calibrated.joblib,10.248,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_conduct_items__strict_no_leakage\calibrated.joblib,10.248,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_conduct_items__research_extended\calibrated.joblib,10.163,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_conduct_items__research_extended\calibrated.joblib,10.163,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_conduct_minimal__strict_no_leakage\calibrated.joblib,9.816,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_conduct_v1_baseline\calibrated.joblib,9.816,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_conduct_minimal__strict_no_leakage\calibrated.joblib,9.816,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\champions\rf_conduct_current\calibrated.joblib,9.816,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_conduct_v1_baseline\calibrated.joblib,9.816,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_anxiety_parent__strict_no_leakage\calibrated.joblib,9.633,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_anxiety_parent__strict_no_leakage\calibrated.joblib,9.633,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_anxiety_combined__strict_no_leakage\calibrated.joblib,9.595,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_anxiety_combined__strict_no_leakage\calibrated.joblib,9.595,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
