target,source,type,strength
ysr_aggressive_behavior_proxy,cbcl_aggressive_behavior_proxy,proxy_copy,moderate
ysr_anxious_depressed_proxy,cbcl_anxious_depressed_proxy,proxy_copy,moderate
ysr_attention_problems_proxy,cbcl_attention_problems_proxy,proxy_copy,moderate
ysr_externalizing_proxy,cbcl_externalizing_proxy,proxy_copy,moderate
ysr_internalizing_proxy,cbcl_internalizing_proxy,proxy_copy,moderate
ysr_rule_breaking_proxy,cbcl_rule_breaking_proxy,proxy_copy,moderate
has_ysr,has_cbcl,availability_proxy,moderate
ari_sr_symptom_total,ari_p_symptom_total,proxy_copy,moderate
has_ari_sr,has_ari_p,availability_proxy,moderate
has_scared_sr,has_scared_p,availability_proxy,moderate
scared_sr_total,scared_p_total,proxy_copy,moderate
scared_sr_generalized_anxiety,scared_p_generalized_anxiety,proxy_copy,moderate
scared_sr_panic_somatic,scared_p_panic_somatic,proxy_copy,moderate
scared_sr_social_anxiety,scared_p_social_anxiety,proxy_copy,moderate
scared_sr_separation_anxiety,scared_p_separation_anxiety,proxy_copy,moderate
scared_sr_school_avoidance,scared_p_school_avoidance,proxy_copy,moderate
scared_sr_possible_anxiety_disorder_cut25,scared_p_possible_anxiety_disorder_cut25,proxy_copy,moderate
conners_cognitive_problems,swan_inattention_total,weak_projection,weak
conners_hyperactivity,swan_hyperactive_impulsive_total,weak_projection,weak
conners_total,swan_total,weak_projection,weak
conners_conduct_problems,sdq_conduct_problems,weak_projection,weak
