feature,formula,source_columns,domain,rationale
engv3_adhd_inatt_count,sum,adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities,adhd,inattention count
engv3_adhd_inatt_mean,mean,adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities,adhd,inattention mean
engv3_adhd_hyp_count,sum,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes,adhd,hyper/impulsive count
engv3_adhd_hyp_mean,mean,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes,adhd,hyper/impulsive mean
engv3_adhd_balance_diff,diff,engv3_adhd_inatt_count|engv3_adhd_hyp_count,adhd,inatt-hyp count diff
engv3_adhd_balance_ratio,ratio,engv3_adhd_inatt_count|engv3_adhd_hyp_count,adhd,inatt/hyp ratio
engv3_mdd_symptom_count,sum,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts,depression,mdd symptom count
engv3_mdd_symptom_mean,mean,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts,depression,mdd symptom mean
engv3_mdd_core_count,sum,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure,depression,mdd core count
engv3_mdd_core_ratio,ratio,engv3_mdd_core_count|engv3_mdd_symptom_count,depression,core/total ratio
engv3_mdd_duration_x_impair,product,mdd_duration_weeks|mdd_impairment,depression,duration*impairment
engv3_anx_symptom_count,sum,pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness,anxiety,anxiety symptom count
engv3_anx_symptom_mean,mean,pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness,anxiety,anxiety symptom mean
engv3_anx_pdd_count,sum,pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness,anxiety,pdd_ count
engv3_anx_module_diversity,count_nonzero,engv3_anx_pdd_count,anxiety,modules with any symptom
engv3_enuresis_burden,product,enuresis_event_frequency_per_week|enuresis_duration_months_consecutive,elimination,enuresis burden
engv3_encopresis_burden,product,encopresis_event_frequency_per_month|encopresis_duration_months_consecutive,elimination,encopresis burden
engv3_enuresis_distress,copy,enuresis_distress_impairment,elimination,enuresis distress
