domain,module,feature_name,criterion_ref,feature_role,data_type,allowed_values,quantitative_encoding,respondent_preferred,caregiver_askable,psychologist_askable,model_layer,priority,notes
ADHD,core_inattention,adhd_inatt_01_attention_to_detail_errors,A1.a,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_02_sustained_attention_difficulty,A1.b,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_03_seems_not_listening,A1.c,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_04_fails_to_finish_tasks,A1.d,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_05_organization_difficulty,A1.e,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_06_avoids_sustained_effort,A1.f,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_07_loses_things,A1.g,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_08_easily_distracted,A1.h,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_inattention,adhd_inatt_09_forgetful_daily_activities,A1.i,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_01_fidgets,A2.a,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
