input_key,source_type,pre_v7_exact_match,post_v8_exact_match
age_years,caregiver_report,1.0,1.0
ari_p_symptom_total,derived,1.0,1.0
ari_sr_symptom_total,child_self_report,1.0,1.0
cbcl_001,caregiver_report,1.0,1.0
cbcl_002,caregiver_report,1.0,1.0
cbcl_003,caregiver_report,1.0,1.0
cbcl_004,caregiver_report,1.0,1.0
cbcl_005,caregiver_report,1.0,1.0
cbcl_006,caregiver_report,1.0,1.0
cbcl_007,caregiver_report,1.0,1.0
cbcl_008,caregiver_report,1.0,1.0
cbcl_009,caregiver_report,1.0,1.0
cbcl_010,caregiver_report,1.0,1.0
cbcl_011,caregiver_report,1.0,1.0
cbcl_012,caregiver_report,1.0,1.0
cbcl_013,caregiver_report,1.0,1.0
cbcl_014,caregiver_report,1.0,1.0
cbcl_015,caregiver_report,1.0,1.0
cbcl_016,caregiver_report,1.0,1.0
cbcl_017,caregiver_report,1.0,1.0
cbcl_018,caregiver_report,1.0,1.0
cbcl_019,caregiver_report,1.0,1.0
cbcl_020,caregiver_report,1.0,1.0
cbcl_021,caregiver_report,1.0,1.0
cbcl_022,caregiver_report,1.0,1.0
cbcl_023,caregiver_report,1.0,1.0
cbcl_024,caregiver_report,1.0,1.0
cbcl_025,caregiver_report,1.0,1.0
cbcl_026,caregiver_report,1.0,1.0
cbcl_027,caregiver_report,1.0,1.0
cbcl_028,caregiver_report,1.0,1.0
cbcl_029,caregiver_report,1.0,1.0
cbcl_030,caregiver_report,1.0,1.0
cbcl_031,caregiver_report,1.0,1.0
cbcl_032,caregiver_report,1.0,1.0
cbcl_033,caregiver_report,1.0,1.0
cbcl_034,caregiver_report,1.0,1.0
cbcl_035,caregiver_report,1.0,1.0
cbcl_036,caregiver_report,1.0,1.0
cbcl_037,caregiver_report,1.0,1.0
cbcl_038,caregiver_report,1.0,1.0
cbcl_039,caregiver_report,1.0,1.0
cbcl_040,caregiver_report,1.0,1.0
cbcl_041,caregiver_report,1.0,1.0
cbcl_042,caregiver_report,1.0,1.0
cbcl_043,caregiver_report,1.0,1.0
cbcl_044,caregiver_report,1.0,1.0
cbcl_045,caregiver_report,1.0,1.0
cbcl_046,caregiver_report,1.0,1.0
cbcl_047,caregiver_report,1.0,1.0
cbcl_048,caregiver_report,1.0,1.0
cbcl_049,caregiver_report,1.0,1.0
cbcl_050,caregiver_report,1.0,1.0
cbcl_051,caregiver_report,1.0,1.0
cbcl_052,caregiver_report,1.0,1.0
cbcl_053,caregiver_report,1.0,1.0
cbcl_054,caregiver_report,1.0,1.0
cbcl_055,caregiver_report,1.0,1.0
cbcl_056,caregiver_report,1.0,1.0
cbcl_057,caregiver_report,1.0,1.0
cbcl_058,caregiver_report,1.0,1.0
cbcl_059,caregiver_report,1.0,1.0
cbcl_060,caregiver_report,1.0,1.0
cbcl_061,caregiver_report,1.0,1.0
cbcl_062,caregiver_report,1.0,1.0
cbcl_063,caregiver_report,1.0,1.0
cbcl_064,caregiver_report,1.0,1.0
cbcl_065,caregiver_report,1.0,1.0
cbcl_066,caregiver_report,1.0,1.0
cbcl_067,caregiver_report,1.0,1.0
cbcl_068,caregiver_report,1.0,1.0
cbcl_069,caregiver_report,1.0,1.0
cbcl_070,caregiver_report,1.0,1.0
cbcl_071,caregiver_report,1.0,1.0
cbcl_072,caregiver_report,1.0,1.0
cbcl_073,caregiver_report,1.0,1.0
cbcl_074,caregiver_report,1.0,1.0
cbcl_075,caregiver_report,1.0,1.0
cbcl_076,caregiver_report,1.0,1.0
cbcl_077,caregiver_report,1.0,1.0
cbcl_078,caregiver_report,1.0,1.0
cbcl_079,caregiver_report,1.0,1.0
cbcl_080,caregiver_report,1.0,1.0
cbcl_081,caregiver_report,1.0,1.0
cbcl_082,caregiver_report,1.0,1.0
cbcl_083,caregiver_report,1.0,1.0
cbcl_084,caregiver_report,1.0,1.0
cbcl_085,caregiver_report,1.0,1.0
cbcl_086,caregiver_report,1.0,1.0
cbcl_087,caregiver_report,1.0,1.0
cbcl_088,caregiver_report,1.0,1.0
cbcl_089,caregiver_report,1.0,1.0
cbcl_090,caregiver_report,1.0,1.0
cbcl_091,caregiver_report,1.0,1.0
cbcl_092,caregiver_report,1.0,1.0
cbcl_093,caregiver_report,1.0,1.0
cbcl_094,caregiver_report,1.0,1.0
cbcl_095,caregiver_report,1.0,1.0
cbcl_096,caregiver_report,1.0,1.0
cbcl_097,caregiver_report,1.0,1.0
cbcl_098,caregiver_report,1.0,1.0
cbcl_099,caregiver_report,1.0,1.0
cbcl_100,caregiver_report,1.0,1.0
cbcl_101,caregiver_report,1.0,1.0
cbcl_102,caregiver_report,1.0,1.0
cbcl_103,caregiver_report,1.0,1.0
cbcl_104,caregiver_report,1.0,1.0
