recommended_bucket,recommended_reason,caregiver_should_see,psychologist_should_see,system_filled_hidden,caregiver_main_flow,psychologist_main_flow,questionnaire_mode,section_id,section_name,section_order,question_code,question_order,question_group_id,domains,source_type,respondent_expected,administered_by,future_optional_full_caregiver_candidate,concept_name,input_key_primary,input_keys_secondary,derivation_targets,question_role,caregiver_prompt,psychologist_prompt,caregiver_help_text,psychologist_help_text,response_type,scale_name,option_order,option_code,option_label_caregiver,option_label_psychologist,option_value,min_value,max_value,unit,allow_unknown,unknown_option_label,required_in_caregiver_mode,required_in_psychologist_mode,model_criticality,output_criticality,branching_rule,branching_rule_summary,visibility_rule,validation_rule,coverage_role,source_mix_role,terminology_note,caveat_if_skipped,pdf_label,api_field_name,db_group_key,excluded_from_model,supplementary_only,notes
both,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.,yes,yes,no,yes,no,both,demographics,Datos básicos,4,age_years,1,age_years,adhd|anxiety|conduct|depression|elimination,general,clinician,clinician,no,Edad en años cumplidos,age_years,,,direct,"¿Qué edad tiene el niño o la niña, en años cumplidos?",Registre la edad cronológica en años cumplidos.,Ingrese un número entero entre 6 y 11 años.,Consigne la edad cronológica en años cumplidos.,integer,integer_6_11,,,,,,6.0,11.0,score,no,,yes,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Edad en años cumplidos,age_years,demographics,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,both,ari,Irritabilidad (ARI),1,ari_p_symptom_total,1,ari_p_symptom_total,conduct,score_derivado,clinician,clinician,no,Puntuación total de síntomas ARI (cuidador),ari_p_symptom_total,,ari_p_symptom_total,supporting,"Si dispone del resultado, ingrese la puntuación total de síntomas ARI (cuidador).",Registre la puntuación total de síntomas ARI (cuidador).,"Ingrese el puntaje ya calculado del instrumento, subescala o proxy correspondiente. Si no lo conoce y el campo lo permite, use “No informado”.","Consigne el puntaje ya calculado del instrumento, subescala o proxy correspondiente.",integer,integer_0_12,,,,,,0.0,12.0,score,yes,No informado,yes,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,derived_support,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Puntuación total de síntomas ARI (cuidador),ari_p_symptom_total,ari,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,ari,Irritabilidad (ARI),1,ari_sr_symptom_total,1,ari_sr_symptom_total,conduct,score_derivado,child,psychologist,yes,Puntuación total de síntomas ARI (autorreporte),ari_sr_symptom_total,,ari_sr_symptom_total,supporting,"Si usted administra el instrumento al niño o la niña y dispone del resultado, ingrese la puntuación total de síntomas ARI (autorreporte).",Registre la puntuación total de síntomas ARI (autorreporte).,"Ingrese el puntaje ya calculado del autorreporte o del instrumento aplicado al niño o la niña. Si no lo conoce y el campo lo permite, use “No informado”.","Consigne el puntaje ya calculado del instrumento, subescala o proxy correspondiente.",integer,integer_0_12,,,,,,0.0,12.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,derived_support,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Puntuación total de síntomas ARI (autorreporte),ari_sr_symptom_total,ari,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_001,1,cbcl_001,anxiety,general,clinician,psychologist,no,Ítem 001 del CBCL,cbcl_001,,,direct,CBCL — Ítem 001. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 001. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,ordinal,ordinal_0_2,1.0,0,Nunca o no es cierto,Nunca o no es cierto,0.0,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 001 del CBCL,cbcl_001,cbcl,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_001,1,cbcl_001,anxiety,general,clinician,psychologist,no,Ítem 001 del CBCL,cbcl_001,,,direct,CBCL — Ítem 001. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 001. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,ordinal,ordinal_0_2,2.0,1,A veces o parcialmente,A veces o parcialmente,1.0,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 001 del CBCL,cbcl_001,cbcl,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_001,1,cbcl_001,anxiety,general,clinician,psychologist,no,Ítem 001 del CBCL,cbcl_001,,,direct,CBCL — Ítem 001. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 001. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,ordinal,ordinal_0_2,3.0,2,Frecuente o muy cierto,Frecuente o muy cierto,2.0,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 001 del CBCL,cbcl_001,cbcl,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_002,1,cbcl_002,anxiety,general,clinician,psychologist,no,Ítem 002 del CBCL,cbcl_002,,,direct,CBCL — Ítem 002. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 002. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,integer,integer_0_2,,,,,,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 002 del CBCL,cbcl_002,cbcl,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_003,1,cbcl_003,anxiety,general,clinician,psychologist,no,Ítem 003 del CBCL,cbcl_003,,,direct,CBCL — Ítem 003. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 003. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,integer,integer_0_2,,,,,,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 003 del CBCL,cbcl_003,cbcl,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_004,1,cbcl_004,anxiety,general,clinician,psychologist,no,Ítem 004 del CBCL,cbcl_004,,,direct,CBCL — Ítem 004. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 004. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,integer,integer_0_2,,,,,,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 004 del CBCL,cbcl_004,cbcl,no,no,final_scope_only
psychologist,"Bloque avanzado, autorreporte, disponibilidad instrumental o puntaje/subescala derivada; conviene dejarlo para modo psicólogo.",no,yes,no,no,yes,psychologist,cbcl,Comportamiento y emociones (CBCL),2,cbcl_005,1,cbcl_005,anxiety,general,clinician,psychologist,no,Ítem 005 del CBCL,cbcl_005,,,direct,CBCL — Ítem 005. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 005. Registre la puntuación del ítem según la administración aplicada.,Use el enunciado oficial del CBCL. Marque una sola opción según lo observado habitualmente y la codificación del instrumento.,Consigne la puntuación estructurada del ítem usando el enunciado oficial y la codificación vigente del CBCL.,integer,integer_0_2,,,,,,0.0,2.0,score,yes,No informado,no,yes,high,high,none,Siempre visible.,always,valor dentro de rango/escala definida en contract,direct,final_model_input,Uso exclusivo para tamizaje; no equivale a diagnóstico clínico.,"Si se omite, puede disminuir la confianza o la calidad de la evidencia del resultado.",Ítem 005 del CBCL,cbcl_005,cbcl,no,no,final_scope_only
