mode,feature_set_name,n_features,included_features_preview,excluded_features_preview,clinical_technical_rationale,methodological_risk,maintenance_cost
caregiver,baseline_current,17,age_years|sex_assigned_at_birth|site|release|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Current champion reference with minimal extension for psychologist.,low_to_medium,low
caregiver,burden_composites,37,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Adds burden composites for ranking quality.,low_to_medium,medium
caregiver,compact_clinical_engineered,22,age_years|sex_assigned_at_birth|site|release|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|cbcl_internalizing_proxy|cbcl_externalizing_proxy|scared_p_total|ari_p_symptom_total|conners_total|swan_total|v11_core_sum|v11_core_mean|v11_core_balance_diff|v11_parent_nonmissing_ratio|v11_parent_source_count|v11_parent_impact_combo|v11_context_cross_domain_parent|v11_missingness_regime,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Compact clinically grounded engineered feature space.,low,low
caregiver,context_comorbidity_aware,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Adds cross-domain context burdens without target leaks.,medium,medium
caregiver,hybrid_engineered_best_effort,52,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Union set to maximize recoverable signal before ceiling decision.,medium,high
caregiver,impact_focused,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Prioritizes impact and impairment signals.,low_to_medium,medium
caregiver,missingness_aware,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Adds explicit coverage and missingness regime.,low,medium
caregiver,proxy_pruned,15,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|sdq_total_difficulties|v11_core_sum|v11_core_mean|v11_core_missing_count|v11_parent_nonmissing_ratio,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Prunes broad proxies; focuses on elimination core and impact.,low,low
caregiver,source_semantics_aware,36,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Adds source mix / agreement semantics.,low_to_medium,medium
caregiver,subtype_aware,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,has_ysr|has_caars|has_mfq_sr|has_ari_sr|has_cdi|has_asr|has_scared_sr|has_bdi|has_stai,Introduces enuresis/encopresis-aware representation.,low_to_medium,medium
