questionnaire_item_id,diagnostic_unit,external_domain,parameter_name,dsm_block,question_text,response_type,allowed_values,temporal_reference,context_reference,impairment_reference,exclusion_reference,severity_reference,requiredness,direct_or_proxy_for_normative_parameter,notes,row_id_from_normative_csv,unit_key
QI_0001,Trastorno por déficit de atención/hiperactividad,TDAH,NORM_PARAM_0001,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,1,adhd
QI_0002,Trastorno de conducta,Conducta,NORM_PARAM_0002,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,2,conduct_disorder
QI_0003,Enuresis,Eliminación,NORM_PARAM_0003,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,3,enuresis
QI_0004,Encopresis,Eliminación,NORM_PARAM_0004,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,4,encopresis
QI_0005,Trastorno de ansiedad por separación,Ansiedad,NORM_PARAM_0005,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,5,separation_anxiety_disorder
QI_0006,Trastorno de ansiedad generalizada,Ansiedad,NORM_PARAM_0006,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,6,generalized_anxiety_disorder
QI_0007,Trastorno de depresión mayor,Depresión,NORM_PARAM_0007,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,7,major_depressive_disorder
QI_0008,Trastorno depresivo persistente,Depresión,NORM_PARAM_0008,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,8,persistent_depressive_disorder
QI_0009,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,NORM_PARAM_0009,,nan,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,9,dmdd
QI_0010,TRANSVERSAL,TRANSVERSAL,diagnostic_unit,Identificación,Unidad diagnóstica DSM-5 exacta sobre la cual se realiza la decisión interna,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,10,transversal
